  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739696.812192                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   8.0000e-14   0.0000e+00
5.0000e-02   5.0500e-12   9.9010e+09
1.0000e-01   9.7000e-13   1.0309e+11
1.5000e-01   -2.4700e-12   -6.0729e+10
2.0000e-01   9.4000e-13   2.1277e+11
2.5000e-01   2.4500e-12   1.0204e+11
3.0000e-01   1.0600e-12   2.8302e+11
3.5000e-01   -4.0000e-14   -8.7500e+12
4.0000e-01   4.6800e-12   8.5470e+10
4.5000e-01   8.4600e-12   5.3191e+10
5.0000e-01   4.6200e-12   1.0823e+11
5.5000e-01   2.3300e-12   2.3605e+11
6.0000e-01   3.8000e-12   1.5789e+11
6.5000e-01   7.3600e-12   8.8315e+10
7.0000e-01   9.6600e-12   7.2464e+10
7.5000e-01   3.8600e-12   1.9430e+11
8.0000e-01   4.7000e-12   1.7021e+11
8.5000e-01   9.0900e-12   9.3509e+10
9.0000e-01   6.8100e-12   1.3216e+11
9.5000e-01   8.5900e-12   1.1059e+11
1.0000e+00   1.0640e-11   9.3985e+10
1.0000e+00   1.2220e-11   8.1833e+10
9.5000e-01   7.0000e-12   1.3571e+11
9.0000e-01   -7.5000e-13   -1.2000e+12
8.5000e-01   3.2100e-12   2.6480e+11
8.0000e-01   8.0200e-12   9.9751e+10
7.5000e-01   5.0900e-12   1.4735e+11
7.0000e-01   7.2000e-13   9.7222e+11
6.5000e-01   -8.2000e-13   -7.9268e+11
6.0000e-01   2.6000e-12   2.3077e+11
5.5000e-01   -4.5000e-13   -1.2222e+12
5.0000e-01   -3.6700e-12   -1.3624e+11
4.5000e-01   -1.5900e-12   -2.8302e+11
4.0000e-01   5.0000e-13   8.0000e+11
3.5000e-01   -5.1000e-13   -6.8627e+11
3.0000e-01   -1.9100e-12   -1.5707e+11
2.5000e-01   -4.2700e-12   -5.8548e+10
2.0000e-01   2.4100e-12   8.2988e+10
1.5000e-01   -2.6000e-13   -5.7692e+11
1.0000e-01   -2.2500e-12   -4.4444e+10
5.0000e-02   -5.9500e-12   -8.4034e+09
0.0000e+00   -9.2000e-13   -0.0000e+00
0.0000e+00   -3.2400e-12   -0.0000e+00
-5.0000e-02   -2.4900e-12   2.0080e+10
-1.0000e-01   2.2200e-12   -4.5045e+10
-1.5000e-01   -3.5000e-12   4.2857e+10
-2.0000e-01   -6.6200e-12   3.0211e+10
-2.5000e-01   -1.2400e-12   2.0161e+11
-3.0000e-01   -4.9000e-13   6.1224e+11
-3.5000e-01   -1.3600e-12   2.5735e+11
-4.0000e-01   -6.6700e-12   5.9970e+10
-4.5000e-01   -4.2300e-12   1.0638e+11
-5.0000e-01   -5.1000e-13   9.8039e+11
-5.5000e-01   -4.1700e-12   1.3189e+11
-6.0000e-01   -3.9900e-12   1.5038e+11
-6.5000e-01   -5.6900e-12   1.1424e+11
-7.0000e-01   -3.3000e-12   2.1212e+11
-7.5000e-01   -4.0800e-12   1.8382e+11
-8.0000e-01   -7.0700e-12   1.1315e+11
-8.5000e-01   -1.7810e-11   4.7726e+10
-9.0000e-01   -1.5200e-11   5.9211e+10
-9.5000e-01   -1.0390e-11   9.1434e+10
-1.0000e+00   -2.8210e-11   3.5448e+10
-1.0000e+00   -3.8120e-11   2.6233e+10
-9.5000e-01   -1.5200e-11   6.2500e+10
-9.0000e-01   -1.5090e-11   5.9642e+10
-8.5000e-01   -1.4770e-11   5.7549e+10
-8.0000e-01   -1.4940e-11   5.3548e+10
-7.5000e-01   -4.8800e-12   1.5369e+11
-7.0000e-01   -6.3900e-12   1.0955e+11
-6.5000e-01   -5.0500e-12   1.2871e+11
-6.0000e-01   3.4000e-13   -1.7647e+12
-5.5000e-01   5.3000e-12   -1.0377e+11
-5.0000e-01   5.6000e-12   -8.9286e+10
-4.5000e-01   4.9600e-12   -9.0726e+10
-4.0000e-01   0.0000e+00   -Inf
-3.5000e-01   1.8000e-12   -1.9444e+11
-3.0000e-01   5.8300e-12   -5.1458e+10
-2.5000e-01   1.5200e-12   -1.6447e+11
-2.0000e-01   -1.0300e-12   1.9417e+11
-1.5000e-01   1.6600e-12   -9.0361e+10
-1.0000e-01   4.5300e-12   -2.2075e+10
-5.0000e-02   4.7200e-12   -1.0593e+10
0.0000e+00   8.7000e-13   0.0000e+00
