  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739696.799624                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.1682e-07   -0.0000e+00
5.0000e-02   7.9748e-05   6.2697e+02
1.0000e-01   1.5956e-04   6.2672e+02
1.5000e-01   2.3926e-04   6.2693e+02
2.0000e-01   3.1876e-04   6.2743e+02
2.5000e-01   3.9836e-04   6.2757e+02
3.0000e-01   4.7752e-04   6.2825e+02
3.5000e-01   5.5582e-04   6.2970e+02
4.0000e-01   6.3390e-04   6.3101e+02
4.5000e-01   7.0936e-04   6.3437e+02
5.0000e-01   7.8318e-04   6.3842e+02
5.5000e-01   8.5308e-04   6.4472e+02
6.0000e-01   9.2812e-04   6.4647e+02
6.5000e-01   1.0022e-03   6.4855e+02
7.0000e-01   1.0677e-03   6.5559e+02
7.5000e-01   1.0839e-03   6.9195e+02
8.0000e-01   1.0094e-03   7.9253e+02
8.5000e-01   6.8538e-04   1.2402e+03
9.0000e-01   4.6324e-04   1.9428e+03
9.5000e-01   2.8994e-04   3.2765e+03
1.0000e+00   3.3072e-04   3.0237e+03
1.0000e+00   3.1064e-04   3.2192e+03
9.5000e-01   2.5160e-04   3.7758e+03
9.0000e-01   2.1168e-04   4.2517e+03
8.5000e-01   1.8904e-04   4.4964e+03
8.0000e-01   1.8532e-04   4.3169e+03
7.5000e-01   1.6794e-04   4.4659e+03
7.0000e-01   1.3446e-04   5.2060e+03
6.5000e-01   1.1102e-04   5.8548e+03
6.0000e-01   9.5104e-05   6.3089e+03
5.5000e-01   8.2036e-05   6.7044e+03
5.0000e-01   7.5588e-05   6.6148e+03
4.5000e-01   6.9496e-05   6.4752e+03
4.0000e-01   6.1088e-05   6.5479e+03
3.5000e-01   5.2372e-05   6.6830e+03
3.0000e-01   4.4966e-05   6.6717e+03
2.5000e-01   3.7368e-05   6.6902e+03
2.0000e-01   2.9306e-05   6.8245e+03
1.5000e-01   2.2156e-05   6.7702e+03
1.0000e-01   1.4024e-05   7.1306e+03
5.0000e-02   7.2645e-06   6.8828e+03
0.0000e+00   -1.5465e-08   -0.0000e+00
0.0000e+00   -2.1520e-08   -0.0000e+00
-5.0000e-02   -9.8476e-06   5.0774e+03
-1.0000e-01   -1.9112e-05   5.2323e+03
-1.5000e-01   -2.9158e-05   5.1444e+03
-2.0000e-01   -4.0772e-05   4.9053e+03
-2.5000e-01   -5.2868e-05   4.7288e+03
-3.0000e-01   -6.5632e-05   4.5709e+03
-3.5000e-01   -7.6034e-05   4.6032e+03
-4.0000e-01   -9.0600e-05   4.4150e+03
-4.5000e-01   -1.0363e-04   4.3425e+03
-5.0000e-01   -1.0100e-04   4.9507e+03
-5.5000e-01   -1.2448e-04   4.4184e+03
-6.0000e-01   -1.2946e-04   4.6346e+03
-6.5000e-01   -1.0964e-04   5.9285e+03
-7.0000e-01   -1.1724e-04   5.9707e+03
-7.5000e-01   -3.7930e-05   1.9773e+04
-8.0000e-01   -5.7940e-05   1.3807e+04
-8.5000e-01   -4.6456e-05   1.8297e+04
-9.0000e-01   -7.2534e-05   1.2408e+04
-9.5000e-01   -7.4676e-05   1.2722e+04
-1.0000e+00   -7.4812e-04   1.3367e+03
-1.0000e+00   -7.2390e-04   1.3814e+03
-9.5000e-01   -6.3866e-04   1.4875e+03
-9.0000e-01   -5.6114e-04   1.6039e+03
-8.5000e-01   -5.0360e-04   1.6878e+03
-8.0000e-01   -4.7692e-04   1.6774e+03
-7.5000e-01   -4.3496e-04   1.7243e+03
-7.0000e-01   -4.0870e-04   1.7127e+03
-6.5000e-01   -3.8610e-04   1.6835e+03
-6.0000e-01   -3.6252e-04   1.6551e+03
-5.5000e-01   -3.3044e-04   1.6644e+03
-5.0000e-01   -3.0078e-04   1.6623e+03
-4.5000e-01   -2.7036e-04   1.6644e+03
-4.0000e-01   -2.3970e-04   1.6688e+03
-3.5000e-01   -2.0906e-04   1.6742e+03
-3.0000e-01   -1.7850e-04   1.6807e+03
-2.5000e-01   -1.4836e-04   1.6851e+03
-2.0000e-01   -1.1808e-04   1.6938e+03
-1.5000e-01   -8.8272e-05   1.6993e+03
-1.0000e-01   -5.8564e-05   1.7075e+03
-5.0000e-02   -2.9152e-05   1.7151e+03
0.0000e+00   -6.3445e-08   -0.0000e+00
