  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739696.788716                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -4.3000e-13   -0.0000e+00
5.0000e-02   5.4000e-12   9.2593e+09
1.0000e-01   7.4000e-12   1.3514e+10
1.5000e-01   9.0700e-12   1.6538e+10
2.0000e-01   9.8700e-12   2.0263e+10
2.5000e-01   5.8400e-12   4.2808e+10
3.0000e-01   9.6000e-12   3.1250e+10
3.5000e-01   1.4630e-11   2.3923e+10
4.0000e-01   7.4500e-12   5.3691e+10
4.5000e-01   2.4500e-12   1.8367e+11
5.0000e-01   8.3900e-12   5.9595e+10
5.5000e-01   1.2630e-11   4.3547e+10
6.0000e-01   8.5000e-12   7.0588e+10
6.5000e-01   5.0300e-12   1.2922e+11
7.0000e-01   1.2970e-11   5.3971e+10
7.5000e-01   1.0780e-11   6.9573e+10
8.0000e-01   1.3160e-11   6.0790e+10
8.5000e-01   1.2530e-11   6.7837e+10
9.0000e-01   9.4500e-12   9.5238e+10
9.5000e-01   1.5470e-11   6.1409e+10
1.0000e+00   2.4410e-11   4.0967e+10
1.0500e+00   1.6060e-11   6.5380e+10
1.1000e+00   1.4430e-11   7.6230e+10
1.1500e+00   1.9680e-11   5.8435e+10
1.2000e+00   2.1720e-11   5.5249e+10
1.2500e+00   1.6340e-11   7.6499e+10
1.3000e+00   9.7000e-12   1.3402e+11
1.3500e+00   1.7870e-11   7.5546e+10
1.4000e+00   2.0480e-11   6.8359e+10
1.4500e+00   2.6390e-11   5.4945e+10
1.5000e+00   1.8730e-11   8.0085e+10
1.5500e+00   1.2300e-11   1.2602e+11
1.6000e+00   7.2746e-10   2.1994e+09
1.6500e+00   2.4221e-09   6.8123e+08
1.7000e+00   6.9592e-09   2.4428e+08
1.7500e+00   9.9244e-09   1.7633e+08
1.8000e+00   9.4612e-09   1.9025e+08
1.8500e+00   1.0370e-08   1.7841e+08
1.9000e+00   1.3365e-08   1.4216e+08
1.9500e+00   1.3366e-08   1.4589e+08
2.0000e+00   1.3457e-08   1.4862e+08
2.0000e+00   1.2304e-08   1.6255e+08
1.9500e+00   1.3651e-08   1.4285e+08
1.9000e+00   1.3772e-08   1.3796e+08
1.8500e+00   1.3920e-08   1.3290e+08
1.8000e+00   1.3377e-08   1.3456e+08
1.7500e+00   1.1155e-08   1.5689e+08
1.7000e+00   1.1082e-08   1.5341e+08
1.6500e+00   1.0545e-08   1.5648e+08
