  Measurement Number     Measurement type
                  26                DC IV

      Measurement ID             SeriesID
       739696.794101                   92

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.9700e-12   -0.0000e+00
5.0000e-02   1.3400e-12   3.7313e+10
1.0000e-01   3.1300e-12   3.1949e+10
1.5000e-01   6.1800e-12   2.4272e+10
2.0000e-01   2.8900e-12   6.9204e+10
2.5000e-01   3.2100e-12   7.7882e+10
3.0000e-01   3.8100e-12   7.8740e+10
3.5000e-01   7.2200e-12   4.8476e+10
4.0000e-01   6.7800e-12   5.8997e+10
4.5000e-01   6.6800e-12   6.7365e+10
5.0000e-01   3.4100e-12   1.4663e+11
5.5000e-01   7.1100e-12   7.7356e+10
6.0000e-01   1.0800e-11   5.5556e+10
6.5000e-01   6.4800e-12   1.0031e+11
7.0000e-01   5.4200e-12   1.2915e+11
7.5000e-01   1.9400e-12   3.8660e+11
8.0000e-01   8.9900e-12   8.8988e+10
8.5000e-01   1.1210e-11   7.5825e+10
9.0000e-01   7.2256e-09   1.2456e+08
9.5000e-01   1.1797e-08   8.0528e+07
1.0000e+00   1.4559e-08   6.8687e+07
1.0000e+00   1.2023e-08   8.3177e+07
9.5000e-01   1.1103e-08   8.5561e+07
9.0000e-01   1.0526e-08   8.5504e+07
8.5000e-01   1.2030e-08   7.0658e+07
8.0000e-01   9.6484e-09   8.2915e+07
7.5000e-01   1.0067e-08   7.4499e+07
7.0000e-01   1.0012e-08   6.9919e+07
6.5000e-01   7.3040e-09   8.8992e+07
6.0000e-01   4.6265e-09   1.2969e+08
5.5000e-01   4.5296e-09   1.2142e+08
5.0000e-01   2.5103e-09   1.9918e+08
4.5000e-01   1.9602e-09   2.2957e+08
4.0000e-01   1.0756e-09   3.7189e+08
3.5000e-01   5.1456e-10   6.8019e+08
3.0000e-01   5.3703e-10   5.5863e+08
2.5000e-01   2.3477e-10   1.0649e+09
2.0000e-01   2.1118e-10   9.4706e+08
1.5000e-01   7.1130e-11   2.1088e+09
1.0000e-01   1.1140e-11   8.9767e+09
5.0000e-02   -5.3400e-12   -9.3633e+09
0.0000e+00   -6.3400e-12   -0.0000e+00
0.0000e+00   2.5400e-12   0.0000e+00
-5.0000e-02   -1.1500e-12   4.3478e+10
-1.0000e-01   -6.3500e-12   1.5748e+10
-1.5000e-01   -3.2500e-12   4.6154e+10
-2.0000e-01   -1.3800e-12   1.4493e+11
-2.5000e-01   1.1000e-13   -2.2727e+12
-3.0000e-01   -2.8800e-12   1.0417e+11
-3.5000e-01   -3.1800e-12   1.1006e+11
-4.0000e-01   -1.3100e-12   3.0534e+11
-4.5000e-01   -2.0600e-12   2.1845e+11
-5.0000e-01   8.1000e-13   -6.1728e+11
-5.5000e-01   -4.0400e-12   1.3614e+11
-6.0000e-01   -6.8000e-12   8.8235e+10
-6.5000e-01   -3.9700e-12   1.6373e+11
-7.0000e-01   -2.5000e-12   2.8000e+11
-7.5000e-01   -4.7800e-12   1.5690e+11
-8.0000e-01   -7.9200e-12   1.0101e+11
-8.5000e-01   -7.0200e-12   1.2108e+11
-9.0000e-01   -4.2400e-12   2.1226e+11
-9.5000e-01   -4.6600e-12   2.0386e+11
-1.0000e+00   -6.6400e-12   1.5060e+11
-1.0000e+00   -6.1300e-12   1.6313e+11
-9.5000e-01   1.3000e-13   -7.3077e+12
-9.0000e-01   -1.7700e-12   5.0847e+11
-8.5000e-01   -2.2900e-12   3.7118e+11
-8.0000e-01   -1.1600e-12   6.8966e+11
-7.5000e-01   8.6000e-13   -8.7209e+11
-7.0000e-01   1.6600e-12   -4.2169e+11
-6.5000e-01   -1.1600e-12   5.6034e+11
-6.0000e-01   -8.9000e-13   6.7416e+11
-5.5000e-01   6.2500e-12   -8.8000e+10
-5.0000e-01   8.8000e-12   -5.6818e+10
-4.5000e-01   3.8700e-12   -1.1628e+11
-4.0000e-01   1.5700e-12   -2.5478e+11
-3.5000e-01   1.9500e-12   -1.7949e+11
-3.0000e-01   5.0100e-12   -5.9880e+10
-2.5000e-01   5.5900e-12   -4.4723e+10
-2.0000e-01   3.5100e-12   -5.6980e+10
-1.5000e-01   2.7900e-12   -5.3763e+10
-1.0000e-01   4.8000e-12   -2.0833e+10
-5.0000e-02   8.7200e-12   -5.7339e+09
0.0000e+00   5.0000e-12   0.0000e+00
