  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739696.792316                   13

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   6.4600e-12   0.0000e+00
5.0000e-02   1.1300e-12   4.4248e+10
1.0000e-01   -1.5500e-12   -6.4516e+10
1.5000e-01   9.5000e-13   1.5789e+11
2.0000e-01   3.8900e-12   5.1414e+10
2.5000e-01   2.8100e-12   8.8968e+10
3.0000e-01   1.9700e-12   1.5228e+11
3.5000e-01   5.2500e-12   6.6667e+10
4.0000e-01   9.2000e-12   4.3478e+10
4.5000e-01   5.7700e-12   7.7990e+10
5.0000e-01   3.5400e-12   1.4124e+11
5.5000e-01   2.9800e-12   1.8456e+11
6.0000e-01   6.8100e-12   8.8106e+10
6.5000e-01   1.0700e-11   6.0748e+10
7.0000e-01   7.5600e-12   9.2593e+10
7.5000e-01   1.5100e-12   4.9669e+11
8.0000e-01   7.4200e-12   1.0782e+11
8.5000e-01   9.9998e-07   8.5002e+05
9.0000e-01   9.9996e-07   9.0004e+05
9.5000e-01   9.9994e-07   9.5006e+05
1.0000e+00   9.9998e-07   1.0000e+06
1.0000e+00   9.9994e-07   1.0001e+06
9.5000e-01   9.9994e-07   9.5006e+05
9.0000e-01   9.9994e-07   9.0005e+05
8.5000e-01   9.9996e-07   8.5003e+05
8.0000e-01   9.9996e-07   8.0003e+05
7.5000e-01   9.9998e-07   7.5002e+05
7.0000e-01   9.9998e-07   7.0001e+05
6.5000e-01   9.9998e-07   6.5001e+05
6.0000e-01   9.9996e-07   6.0002e+05
5.5000e-01   9.9996e-07   5.5002e+05
5.0000e-01   9.9620e-07   5.0191e+05
4.5000e-01   9.3712e-07   4.8019e+05
4.0000e-01   8.1672e-07   4.8976e+05
3.5000e-01   7.0958e-07   4.9325e+05
3.0000e-01   5.8442e-07   5.1333e+05
2.5000e-01   3.5960e-07   6.9522e+05
2.0000e-01   2.5368e-07   7.8839e+05
1.5000e-01   1.6248e-07   9.2319e+05
1.0000e-01   9.4220e-08   1.0613e+06
5.0000e-02   3.3685e-08   1.4843e+06
0.0000e+00   -1.4570e-11   -0.0000e+00
0.0000e+00   1.0100e-12   0.0000e+00
-5.0000e-02   -2.9700e-12   1.6835e+10
-1.0000e-01   -4.5100e-12   2.2173e+10
-1.5000e-01   -2.8000e-13   5.3571e+11
-2.0000e-01   8.6000e-13   -2.3256e+11
-2.5000e-01   1.0000e-12   -2.5000e+11
-3.0000e-01   -2.3400e-12   1.2821e+11
-3.5000e-01   -1.8700e-12   1.8717e+11
-4.0000e-01   -2.1000e-12   1.9048e+11
-4.5000e-01   -6.9700e-12   6.4562e+10
-5.0000e-01   -1.1050e-11   4.5249e+10
-5.5000e-01   -7.2700e-12   7.5653e+10
-6.0000e-01   -3.6000e-12   1.6667e+11
-6.5000e-01   -5.5600e-12   1.1691e+11
-7.0000e-01   -6.8900e-12   1.0160e+11
-7.5000e-01   -1.1880e-11   6.3131e+10
-8.0000e-01   -7.7900e-12   1.0270e+11
-8.5000e-01   -2.9300e-12   2.9010e+11
-9.0000e-01   -6.8500e-12   1.3139e+11
-9.5000e-01   -8.6800e-12   1.0945e+11
-1.0000e+00   -6.4400e-12   1.5528e+11
-1.0000e+00   -4.9700e-12   2.0121e+11
-9.5000e-01   -4.4300e-12   2.1445e+11
-9.0000e-01   -3.1300e-12   2.8754e+11
-8.5000e-01   9.1000e-13   -9.3407e+11
-8.0000e-01   4.0000e-14   -2.0000e+13
-7.5000e-01   2.8300e-12   -2.6502e+11
-7.0000e-01   -3.1000e-13   2.2581e+12
-6.5000e-01   -3.3300e-12   1.9520e+11
-6.0000e-01   3.6600e-12   -1.6393e+11
-5.5000e-01   5.0000e-12   -1.1000e+11
-5.0000e-01   2.7300e-12   -1.8315e+11
-4.5000e-01   2.0300e-12   -2.2167e+11
-4.0000e-01   6.0100e-12   -6.6556e+10
-3.5000e-01   2.9900e-12   -1.1706e+11
-3.0000e-01   1.8400e-12   -1.6304e+11
-2.5000e-01   2.8400e-12   -8.8028e+10
-2.0000e-01   3.7800e-12   -5.2910e+10
-1.5000e-01   6.1400e-12   -2.4430e+10
-1.0000e-01   3.9700e-12   -2.5189e+10
-5.0000e-02   -2.6000e-13   1.9231e+11
0.0000e+00   5.8800e-12   0.0000e+00
