  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739704.752942                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   4.6300e-12   0.0000e+00
5.0000e-02   1.3600e-11   3.6765e+09
1.0000e-01   4.0400e-12   2.4752e+10
1.5000e-01   1.0360e-11   1.4479e+10
2.0000e-01   3.4760e-11   5.7537e+09
2.5000e-01   5.1590e-11   4.8459e+09
3.0000e-01   5.4760e-11   5.4785e+09
3.5000e-01   6.3530e-11   5.5092e+09
4.0000e-01   1.0740e-10   3.7244e+09
4.5000e-01   1.5668e-10   2.8721e+09
5.0000e-01   2.0391e-10   2.4521e+09
5.5000e-01   2.7721e-10   1.9841e+09
6.0000e-01   3.8756e-10   1.5481e+09
6.5000e-01   4.7850e-10   1.3584e+09
7.0000e-01   7.2139e-10   9.7035e+08
7.5000e-01   1.0303e-09   7.2794e+08
8.0000e-01   1.1538e-09   6.9336e+08
8.5000e-01   1.9032e-09   4.4662e+08
9.0000e-01   2.0702e-09   4.3474e+08
9.5000e-01   3.5564e-09   2.6712e+08
1.0000e+00   3.5697e-09   2.8014e+08
1.0500e+00   4.8668e-09   2.1575e+08
1.1000e+00   5.1416e-09   2.1394e+08
1.1500e+00   6.7176e-09   1.7119e+08
1.2000e+00   6.8804e-09   1.7441e+08
1.2500e+00   8.4731e-09   1.4753e+08
1.3000e+00   9.7546e-09   1.3327e+08
1.3500e+00   1.1135e-08   1.2124e+08
1.4000e+00   1.3156e-08   1.0641e+08
1.4500e+00   1.4862e-08   9.7567e+07
1.5000e+00   1.6495e-08   9.0939e+07
1.5500e+00   2.0916e-08   7.4107e+07
1.6000e+00   1.5813e-08   1.0118e+08
1.6500e+00   2.0787e-08   7.9377e+07
1.7000e+00   4.2027e-08   4.0450e+07
1.7500e+00   2.5580e-07   6.8413e+06
1.8000e+00   7.4456e-07   2.4175e+06
1.8500e+00   1.0005e-05   1.8491e+05
1.9000e+00   1.0000e-05   1.8999e+05
1.9500e+00   9.9999e-06   1.9500e+05
2.0000e+00   1.0002e-05   1.9997e+05
2.0000e+00   9.9991e-06   2.0002e+05
1.9500e+00   1.0000e-05   1.9500e+05
1.9000e+00   1.0003e-05   1.8995e+05
1.8500e+00   1.0001e-05   1.8499e+05
1.8000e+00   9.9980e-06   1.8004e+05
1.7500e+00   1.0001e-05   1.7498e+05
1.7000e+00   1.0001e-05   1.6998e+05
1.6500e+00   1.0000e-05   1.6500e+05
