  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739704.752571                   49

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -8.7200e-12   -0.0000e+00
5.0000e-02   4.4268e-10   1.1295e+08
1.0000e-01   5.0654e-10   1.9742e+08
1.5000e-01   1.4945e-09   1.0037e+08
2.0000e-01   2.3740e-09   8.4246e+07
2.5000e-01   3.5843e-09   6.9749e+07
3.0000e-01   5.5026e-09   5.4520e+07
3.5000e-01   7.8628e-09   4.4513e+07
4.0000e-01   1.0236e-08   3.9079e+07
4.5000e-01   1.4251e-08   3.1576e+07
5.0000e-01   1.8106e-08   2.7615e+07
5.5000e-01   2.3308e-08   2.3597e+07
6.0000e-01   2.9214e-08   2.0538e+07
6.5000e-01   3.5976e-08   1.8068e+07
7.0000e-01   4.4844e-08   1.5610e+07
7.5000e-01   5.5046e-08   1.3625e+07
8.0000e-01   6.6851e-08   1.1967e+07
8.5000e-01   8.0231e-08   1.0594e+07
9.0000e-01   8.9303e-08   1.0078e+07
9.5000e-01   1.0128e-07   9.3799e+06
1.0000e+00   1.1728e-07   8.5266e+06
1.0500e+00   1.3638e-07   7.6991e+06
1.1000e+00   1.5888e-07   6.9235e+06
1.1500e+00   1.9000e-07   6.0526e+06
1.2000e+00   2.1444e-07   5.5960e+06
1.2500e+00   2.4136e-07   5.1790e+06
1.3000e+00   2.6604e-07   4.8865e+06
1.3500e+00   3.0570e-07   4.4161e+06
1.4000e+00   3.5108e-07   3.9877e+06
1.4500e+00   3.8968e-07   3.7210e+06
1.5000e+00   4.2424e-07   3.5357e+06
1.5500e+00   4.5878e-07   3.3785e+06
1.6000e+00   5.0504e-07   3.1681e+06
1.6500e+00   5.0864e-07   3.2439e+06
1.7000e+00   5.5044e-07   3.0884e+06
1.7500e+00   6.5898e-07   2.6556e+06
1.8000e+00   6.4608e-07   2.7860e+06
1.8500e+00   7.9040e-07   2.3406e+06
1.9000e+00   8.5518e-07   2.2218e+06
1.9500e+00   9.3814e-07   2.0786e+06
2.0000e+00   1.0002e-06   1.9997e+06
2.0000e+00   1.0610e-06   1.8850e+06
1.9500e+00   8.0144e-07   2.4331e+06
1.9000e+00   1.0337e-06   1.8381e+06
1.8500e+00   8.6314e-07   2.1433e+06
1.8000e+00   8.0218e-07   2.2439e+06
1.7500e+00   7.0710e-07   2.4749e+06
1.7000e+00   2.5522e-06   6.6609e+05
1.6500e+00   2.6045e-06   6.3352e+05
