  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739704.752477                   49

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.4880e-11   -0.0000e+00
5.0000e-02   3.0892e-10   1.6185e+08
1.0000e-01   8.0983e-10   1.2348e+08
1.5000e-01   1.4165e-09   1.0589e+08
2.0000e-01   2.2477e-09   8.8980e+07
2.5000e-01   3.6653e-09   6.8207e+07
3.0000e-01   5.1320e-09   5.8457e+07
3.5000e-01   7.2223e-09   4.8461e+07
4.0000e-01   1.0206e-08   3.9194e+07
4.5000e-01   1.3850e-08   3.2492e+07
5.0000e-01   1.9010e-08   2.6302e+07
5.5000e-01   2.4578e-08   2.2378e+07
6.0000e-01   3.3621e-08   1.7846e+07
6.5000e-01   4.0393e-08   1.6092e+07
7.0000e-01   5.4685e-08   1.2801e+07
7.5000e-01   6.8805e-08   1.0900e+07
8.0000e-01   8.3402e-08   9.5921e+06
8.5000e-01   1.0040e-07   8.4658e+06
9.0000e-01   1.1838e-07   7.6026e+06
9.5000e-01   1.3914e-07   6.8277e+06
1.0000e+00   1.6142e-07   6.1950e+06
1.0500e+00   1.6340e-07   6.4259e+06
1.1000e+00   1.7988e-07   6.1152e+06
1.1500e+00   2.0262e-07   5.6756e+06
1.2000e+00   2.2616e-07   5.3060e+06
1.2500e+00   2.5352e-07   4.9306e+06
1.3000e+00   2.8602e-07   4.5451e+06
1.3500e+00   3.2488e-07   4.1554e+06
1.4000e+00   4.9208e-07   2.8451e+06
1.4500e+00   1.0001e-05   1.4499e+05
1.5000e+00   1.0000e-05   1.5000e+05
1.5500e+00   1.0000e-05   1.5500e+05
1.6000e+00   1.0000e-05   1.5999e+05
1.6500e+00   1.0000e-05   1.6500e+05
1.7000e+00   1.0000e-05   1.7000e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.8000e+00   1.0001e-05   1.7999e+05
1.8500e+00   1.0000e-05   1.8500e+05
1.9000e+00   1.0000e-05   1.8999e+05
1.9500e+00   1.0000e-05   1.9500e+05
2.0000e+00   9.9999e-06   2.0000e+05
2.0000e+00   1.0000e-05   1.9999e+05
1.9500e+00   1.0000e-05   1.9500e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.8500e+00   1.0000e-05   1.8499e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.7500e+00   9.9997e-06   1.7501e+05
1.7000e+00   1.0000e-05   1.7000e+05
1.6500e+00   9.9997e-06   1.6500e+05
