  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739704.755600                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -6.0000e-12   -0.0000e+00
5.0000e-02   -8.9600e-12   -5.5804e+09
1.0000e-01   7.5800e-12   1.3193e+10
1.5000e-01   1.5490e-11   9.6837e+09
2.0000e-01   1.8260e-11   1.0953e+10
2.5000e-01   1.4000e-13   1.7857e+12
3.0000e-01   -8.0000e-14   -3.7500e+12
3.5000e-01   5.0000e-14   7.0000e+12
4.0000e-01   1.7890e-11   2.2359e+10
4.5000e-01   3.2560e-11   1.3821e+10
5.0000e-01   2.8050e-11   1.7825e+10
5.5000e-01   2.9910e-11   1.8388e+10
6.0000e-01   1.0470e-10   5.7307e+09
6.5000e-01   7.6279e-10   8.5213e+08
7.0000e-01   7.5050e-10   9.3271e+08
7.5000e-01   2.4404e-08   3.0732e+07
8.0000e-01   3.6370e-08   2.1996e+07
8.5000e-01   1.7100e-07   4.9708e+06
9.0000e-01   2.5322e-07   3.5542e+06
9.5000e-01   7.8408e-07   1.2116e+06
1.0000e+00   1.4982e-06   6.6747e+05
1.0500e+00   1.6030e-06   6.5502e+05
1.1000e+00   3.6735e-06   2.9944e+05
1.1500e+00   5.6914e-06   2.0206e+05
1.2000e+00   9.6979e-06   1.2374e+05
1.2500e+00   9.9993e-06   1.2501e+05
1.3000e+00   1.0000e-05   1.3000e+05
1.3500e+00   1.0001e-05   1.3499e+05
1.4000e+00   9.9996e-06   1.4001e+05
1.4500e+00   1.0001e-05   1.4498e+05
1.5000e+00   1.0001e-05   1.4998e+05
1.5500e+00   1.0000e-05   1.5500e+05
1.6000e+00   9.9994e-06   1.6001e+05
1.6500e+00   1.0001e-05   1.6499e+05
1.7000e+00   1.0001e-05   1.6998e+05
1.7500e+00   9.9996e-06   1.7501e+05
1.8000e+00   1.0001e-05   1.7999e+05
1.8500e+00   1.0000e-05   1.8499e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.9500e+00   1.0002e-05   1.9496e+05
2.0000e+00   9.9998e-06   2.0000e+05
2.0000e+00   1.0000e-05   2.0000e+05
1.9500e+00   1.0000e-05   1.9500e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.8500e+00   1.0000e-05   1.8499e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.7500e+00   9.9991e-06   1.7502e+05
1.7000e+00   9.9994e-06   1.7001e+05
1.6500e+00   1.0001e-05   1.6499e+05
