  Measurement Number     Measurement type
                  43                DC IV

      Measurement ID             SeriesID
       739704.758028                   80

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -9.6700e-12   -0.0000e+00
5.0000e-02   -4.2900e-12   -1.1655e+10
1.0000e-01   8.8500e-12   1.1299e+10
1.5000e-01   1.8780e-11   7.9872e+09
2.0000e-01   -3.6200e-12   -5.5249e+10
2.5000e-01   -9.5300e-12   -2.6233e+10
3.0000e-01   5.1600e-12   5.8140e+10
3.5000e-01   2.4390e-11   1.4350e+10
4.0000e-01   2.3030e-11   1.7369e+10
4.5000e-01   1.2900e-11   3.4884e+10
5.0000e-01   2.6110e-11   1.9150e+10
5.5000e-01   5.8470e-11   9.4065e+09
6.0000e-01   7.9730e-11   7.5254e+09
6.5000e-01   1.2098e-10   5.3728e+09
7.0000e-01   3.4217e-10   2.0458e+09
7.5000e-01   1.1230e-09   6.6785e+08
8.0000e-01   1.3853e-09   5.7749e+08
8.5000e-01   3.5641e-09   2.3849e+08
9.0000e-01   5.1175e-09   1.7587e+08
9.5000e-01   1.4764e-08   6.4345e+07
1.0000e+00   2.2345e-08   4.4753e+07
1.0500e+00   2.1402e-08   4.9060e+07
1.1000e+00   2.4516e-08   4.4868e+07
1.1500e+00   2.7519e-08   4.1789e+07
1.2000e+00   4.8152e-08   2.4921e+07
1.2500e+00   1.4522e-07   8.6076e+06
1.3000e+00   2.2892e-07   5.6788e+06
1.3500e+00   5.1624e-07   2.6151e+06
1.4000e+00   3.5490e-06   3.9448e+05
1.4500e+00   1.0001e-05   1.4498e+05
1.5000e+00   9.9980e-06   1.5003e+05
1.5500e+00   9.9997e-06   1.5500e+05
1.6000e+00   9.9994e-06   1.6001e+05
1.6500e+00   9.9999e-06   1.6500e+05
1.7000e+00   9.9979e-06   1.7004e+05
1.7500e+00   1.0000e-05   1.7499e+05
1.8000e+00   1.0001e-05   1.7998e+05
1.8500e+00   1.0001e-05   1.8499e+05
1.9000e+00   1.0002e-05   1.8996e+05
1.9500e+00   1.0001e-05   1.9498e+05
2.0000e+00   9.9977e-06   2.0005e+05
2.0000e+00   1.0002e-05   1.9995e+05
1.9500e+00   1.0001e-05   1.9499e+05
1.9000e+00   9.9994e-06   1.9001e+05
1.8500e+00   9.9994e-06   1.8501e+05
1.8000e+00   1.0001e-05   1.7999e+05
1.7500e+00   9.9989e-06   1.7502e+05
1.7000e+00   9.9987e-06   1.7002e+05
1.6500e+00   9.9988e-06   1.6502e+05
