  Measurement Number     Measurement type
                  14                DC IV

      Measurement ID             SeriesID
       739704.737378                   92

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   9.1100e-12   0.0000e+00
5.0000e-02   1.7180e-11   2.9104e+09
1.0000e-01   -4.4700e-12   -2.2371e+10
1.5000e-01   -1.0770e-11   -1.3928e+10
2.0000e-01   -6.3400e-12   -3.1546e+10
2.5000e-01   2.0800e-12   1.2019e+11
3.0000e-01   1.7390e-11   1.7251e+10
3.5000e-01   4.7600e-12   7.3529e+10
4.0000e-01   -8.1200e-12   -4.9261e+10
4.5000e-01   -2.3800e-12   -1.8908e+11
5.0000e-01   3.4500e-11   1.4493e+10
5.5000e-01   8.3690e-11   6.5719e+09
6.0000e-01   2.7967e-10   2.1454e+09
6.5000e-01   3.2788e-10   1.9824e+09
7.0000e-01   8.2552e-10   8.4795e+08
7.5000e-01   9.4260e-10   7.9567e+08
8.0000e-01   2.7227e-09   2.9383e+08
8.5000e-01   3.3518e-09   2.5360e+08
9.0000e-01   1.1008e-08   8.1756e+07
9.5000e-01   1.1906e-08   7.9789e+07
1.0000e+00   1.3538e-08   7.3867e+07
1.0500e+00   1.5232e-08   6.8934e+07
1.1000e+00   3.1883e-08   3.4501e+07
1.1500e+00   9.9994e-07   1.1501e+06
1.2000e+00   1.0001e-06   1.1999e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   1.0001e-06   1.2999e+06
1.3500e+00   1.0001e-06   1.3499e+06
1.4000e+00   1.0000e-06   1.3999e+06
1.4500e+00   1.0001e-06   1.4499e+06
1.5000e+00   1.0001e-06   1.4999e+06
1.5500e+00   1.0001e-06   1.5499e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6499e+06
1.7000e+00   1.0000e-06   1.6999e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.9500e+00   1.0001e-06   1.9499e+06
2.0000e+00   1.0000e-06   1.9999e+06
2.0000e+00   1.0000e-06   1.9999e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.7000e+00   1.0000e-06   1.6999e+06
1.6500e+00   1.0000e-06   1.6499e+06
