  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739704.740971                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -1.7700e-12   -0.0000e+00
5.0000e-02   5.6395e-10   8.8660e+07
1.0000e-01   1.2866e-09   7.7724e+07
1.5000e-01   2.0292e-09   7.3921e+07
2.0000e-01   2.7187e-09   7.3565e+07
2.5000e-01   3.9643e-09   6.3063e+07
3.0000e-01   4.7557e-09   6.3082e+07
3.5000e-01   5.9026e-09   5.9296e+07
4.0000e-01   6.8814e-09   5.8128e+07
4.5000e-01   8.0595e-09   5.5835e+07
5.0000e-01   9.4600e-09   5.2854e+07
5.5000e-01   1.0596e-08   5.1907e+07
6.0000e-01   1.2093e-08   4.9617e+07
6.5000e-01   7.1436e-07   9.0991e+05
7.0000e-01   5.6890e-07   1.2304e+06
7.5000e-01   4.8372e-07   1.5505e+06
8.0000e-01   3.8040e-07   2.1030e+06
8.5000e-01   3.4750e-07   2.4460e+06
9.0000e-01   3.2080e-07   2.8055e+06
9.5000e-01   8.2168e-07   1.1562e+06
1.0000e+00   1.0000e-06   1.0000e+06
1.0500e+00   1.0000e-06   1.0500e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.2500e+00   1.0001e-06   1.2499e+06
1.3000e+00   1.0000e-06   1.2999e+06
1.3500e+00   1.0000e-06   1.3499e+06
1.4000e+00   1.0000e-06   1.3999e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   1.0001e-06   1.4999e+06
1.5500e+00   1.0000e-06   1.5499e+06
1.6000e+00   1.0000e-06   1.5999e+06
1.6500e+00   1.0001e-06   1.6499e+06
1.7000e+00   1.0001e-06   1.6999e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0001e-06   1.7999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0001e-06   1.8999e+06
1.9500e+00   1.0000e-06   1.9499e+06
2.0000e+00   1.0000e-06   1.9999e+06
2.0000e+00   1.0000e-06   1.9999e+06
1.9500e+00   1.0000e-06   1.9499e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.8000e+00   1.0001e-06   1.7999e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.7000e+00   1.0001e-06   1.6999e+06
1.6500e+00   1.0000e-06   1.6499e+06
