  Measurement Number     Measurement type
                 125                DC IV

      Measurement ID             SeriesID
       739704.751504                   96

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.4880e-11   0.0000e+00
5.0000e-02   8.3600e-12   5.9809e+09
1.0000e-01   -9.0500e-12   -1.1050e+10
1.5000e-01   -4.8700e-12   -3.0801e+10
2.0000e-01   1.1890e-11   1.6821e+10
2.5000e-01   2.8480e-11   8.7781e+09
3.0000e-01   8.2400e-12   3.6408e+10
3.5000e-01   1.5390e-11   2.2742e+10
4.0000e-01   4.1020e-11   9.7513e+09
4.5000e-01   5.1080e-11   8.8097e+09
5.0000e-01   6.2430e-11   8.0090e+09
5.5000e-01   2.7240e-10   2.0191e+09
6.0000e-01   4.8467e-08   1.2379e+07
6.5000e-01   6.2748e-09   1.0359e+08
7.0000e-01   5.8542e-08   1.1957e+07
7.5000e-01   5.0486e-08   1.4855e+07
8.0000e-01   1.4072e-06   5.6850e+05
8.5000e-01   1.4530e-06   5.8500e+05
9.0000e-01   1.6684e-06   5.3944e+05
9.5000e-01   1.9542e-06   4.8613e+05
1.0000e+00   2.8257e-06   3.5389e+05
1.0500e+00   4.3295e-06   2.4252e+05
1.1000e+00   8.6256e-06   1.2753e+05
1.1500e+00   8.1915e-06   1.4039e+05
1.2000e+00   9.4208e-06   1.2738e+05
1.2500e+00   1.0010e-05   1.2488e+05
1.3000e+00   1.0001e-05   1.2999e+05
1.3500e+00   1.0001e-05   1.3499e+05
1.4000e+00   1.0000e-05   1.4000e+05
1.4500e+00   9.9994e-06   1.4501e+05
1.5000e+00   1.0001e-05   1.4999e+05
1.5500e+00   1.0000e-05   1.5499e+05
1.6000e+00   9.9997e-06   1.6000e+05
1.6500e+00   1.0000e-05   1.6499e+05
1.7000e+00   9.9999e-06   1.7000e+05
1.7500e+00   9.9998e-06   1.7500e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.8500e+00   1.0001e-05   1.8498e+05
1.9000e+00   1.0001e-05   1.8999e+05
1.9500e+00   9.9997e-06   1.9501e+05
2.0000e+00   9.9996e-06   2.0001e+05
2.0000e+00   1.0001e-05   1.9998e+05
1.9500e+00   1.0001e-05   1.9499e+05
1.9000e+00   1.0001e-05   1.8998e+05
1.8500e+00   1.0000e-05   1.8499e+05
1.8000e+00   9.9993e-06   1.8001e+05
1.7500e+00   9.9996e-06   1.7501e+05
1.7000e+00   1.0000e-05   1.6999e+05
1.6500e+00   1.0001e-05   1.6498e+05
