  Measurement Number     Measurement type
                   9                DC IV

      Measurement ID             SeriesID
       739704.742881                   28

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   2.6900e-12   0.0000e+00
5.0000e-02   -6.1000e-12   -8.1967e+09
1.0000e-01   -1.0790e-11   -9.2678e+09
1.5000e-01   2.5600e-12   5.8594e+10
2.0000e-01   1.0350e-11   1.9324e+10
2.5000e-01   2.6940e-11   9.2799e+09
3.0000e-01   7.1800e-12   4.1783e+10
3.5000e-01   1.2920e-11   2.7090e+10
4.0000e-01   2.3530e-11   1.7000e+10
4.5000e-01   4.7880e-11   9.3985e+09
5.0000e-01   6.4410e-11   7.7628e+09
5.5000e-01   8.1760e-11   6.7270e+09
6.0000e-01   8.6790e-11   6.9132e+09
6.5000e-01   2.3180e-10   2.8041e+09
7.0000e-01   1.7463e-09   4.0085e+08
7.5000e-01   4.3449e-09   1.7262e+08
8.0000e-01   6.9438e-09   1.1521e+08
8.5000e-01   5.5848e-09   1.5220e+08
9.0000e-01   1.3296e-08   6.7689e+07
9.5000e-01   8.1422e-09   1.1668e+08
1.0000e+00   1.0578e-08   9.4536e+07
1.0500e+00   1.3599e-08   7.7213e+07
1.1000e+00   1.5552e-08   7.0730e+07
1.1500e+00   6.4466e-08   1.7839e+07
1.2000e+00   7.6140e-08   1.5760e+07
1.2500e+00   1.0548e-07   1.1851e+07
1.3000e+00   7.4522e-07   1.7445e+06
1.3500e+00   1.0001e-06   1.3498e+06
1.4000e+00   1.0000e-06   1.3999e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.5500e+00   1.0000e-06   1.5500e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0001e-06   1.6499e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.8500e+00   1.0001e-06   1.8499e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0001e-06   1.9999e+06
1.9500e+00   1.0000e-06   1.9499e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0001e-06   1.8499e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0001e-06   1.7499e+06
1.7000e+00   1.0000e-06   1.6999e+06
1.6500e+00   1.0000e-06   1.6500e+06
