  Measurement Number     Measurement type
                  11                DC IV

      Measurement ID             SeriesID
       739708.743502                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.2200e-12   0.0000e+00
5.0000e-02   -5.5300e-12   -9.0416e+09
1.0000e-01   -4.2000e-12   -2.3810e+10
1.5000e-01   5.3000e-12   2.8302e+10
2.0000e-01   1.2790e-11   1.5637e+10
2.5000e-01   6.4200e-12   3.8941e+10
3.0000e-01   -1.0500e-12   -2.8571e+11
3.5000e-01   1.1000e-12   3.1818e+11
4.0000e-01   5.3930e-11   7.4170e+09
4.5000e-01   1.7357e-08   2.5926e+07
5.0000e-01   2.8411e-08   1.7599e+07
5.5000e-01   4.4542e-07   1.2348e+06
6.0000e-01   5.9804e-07   1.0033e+06
6.5000e-01   8.9996e-06   7.2225e+04
7.0000e-01   1.0001e-05   6.9994e+04
7.5000e-01   9.9983e-06   7.5013e+04
8.0000e-01   1.0001e-05   7.9991e+04
8.5000e-01   9.9998e-06   8.5002e+04
9.0000e-01   1.0000e-05   8.9998e+04
9.5000e-01   9.9999e-06   9.5001e+04
1.0000e+00   9.9996e-06   1.0000e+05
1.0000e+00   9.9993e-06   1.0001e+05
9.5000e-01   9.9984e-06   9.5015e+04
9.0000e-01   9.9991e-06   9.0008e+04
8.5000e-01   9.9969e-06   8.5026e+04
8.0000e-01   9.9990e-06   8.0008e+04
7.5000e-01   9.9990e-06   7.5008e+04
7.0000e-01   9.9992e-06   7.0006e+04
6.5000e-01   1.0000e-05   6.4999e+04
6.0000e-01   9.9990e-06   6.0006e+04
5.5000e-01   1.0001e-05   5.4997e+04
5.0000e-01   9.6184e-06   5.1984e+04
4.5000e-01   8.1708e-06   5.5074e+04
4.0000e-01   9.2710e-06   4.3145e+04
3.5000e-01   8.1997e-06   4.2684e+04
3.0000e-01   6.0055e-06   4.9954e+04
2.5000e-01   1.8846e-07   1.3265e+06
2.0000e-01   4.0318e-07   4.9606e+05
1.5000e-01   3.4884e-07   4.3000e+05
1.0000e-01   1.5022e-07   6.6569e+05
5.0000e-02   -9.2400e-12   -5.4113e+09
0.0000e+00   -2.0100e-12   -0.0000e+00
0.0000e+00   4.9800e-12   0.0000e+00
-5.0000e-02   -8.5200e-12   5.8685e+09
-1.0000e-01   -1.1900e-12   8.4034e+10
-1.5000e-01   1.3000e-13   -1.1538e+12
-2.0000e-01   -3.5000e-12   5.7143e+10
-2.5000e-01   -1.3380e-11   1.8685e+10
-3.0000e-01   -6.1700e-12   4.8622e+10
-3.5000e-01   1.6800e-12   -2.0833e+11
-4.0000e-01   -2.7700e-12   1.4440e+11
-4.5000e-01   -1.2010e-11   3.7469e+10
-5.0000e-01   -5.7500e-12   8.6957e+10
-5.5000e-01   4.9500e-12   -1.1111e+11
-6.0000e-01   -5.1400e-12   1.1673e+11
-6.5000e-01   -1.4060e-11   4.6230e+10
-7.0000e-01   -9.9998e-07   7.0001e+05
-7.5000e-01   -9.9996e-07   7.5003e+05
-8.0000e-01   -9.9994e-07   8.0005e+05
-8.5000e-01   -9.9994e-07   8.5005e+05
-9.0000e-01   -9.9994e-07   9.0005e+05
-9.5000e-01   -9.9994e-07   9.5006e+05
-1.0000e+00   -9.9994e-07   1.0001e+06
-1.0000e+00   -9.9994e-07   1.0001e+06
-9.5000e-01   -9.9996e-07   9.5004e+05
-9.0000e-01   -9.9994e-07   9.0005e+05
-8.5000e-01   -9.9994e-07   8.5005e+05
-8.0000e-01   -9.9996e-07   8.0003e+05
-7.5000e-01   -9.9996e-07   7.5003e+05
-7.0000e-01   -9.9994e-07   7.0004e+05
-6.5000e-01   -9.9996e-07   6.5003e+05
-6.0000e-01   -9.9996e-07   6.0002e+05
-5.5000e-01   -9.9996e-07   5.5002e+05
-5.0000e-01   -9.9996e-07   5.0002e+05
-4.5000e-01   -9.9994e-07   4.5003e+05
-4.0000e-01   -9.9996e-07   4.0002e+05
-3.5000e-01   -9.9996e-07   3.5001e+05
-3.0000e-01   -9.9996e-07   3.0001e+05
-2.5000e-01   -9.9996e-07   2.5001e+05
-2.0000e-01   -9.9994e-07   2.0001e+05
-1.5000e-01   -7.7428e-07   1.9373e+05
-1.0000e-01   -5.2270e-07   1.9131e+05
-5.0000e-02   -2.4698e-07   2.0245e+05
0.0000e+00   -5.5833e-10   -0.0000e+00
