  Measurement Number     Measurement type
                  33                DC IV

      Measurement ID             SeriesID
       739704.757301                   80

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.2630e-11   0.0000e+00
5.0000e-02   1.4430e-11   3.4650e+09
1.0000e-01   -6.0500e-12   -1.6529e+10
1.5000e-01   -7.1700e-12   -2.0921e+10
2.0000e-01   1.7140e-11   1.1669e+10
2.5000e-01   1.4940e-11   1.6734e+10
3.0000e-01   9.0800e-12   3.3040e+10
3.5000e-01   4.6600e-12   7.5107e+10
4.0000e-01   2.5900e-12   1.5444e+11
4.5000e-01   2.7320e-11   1.6471e+10
5.0000e-01   4.8680e-11   1.0271e+10
5.5000e-01   4.2510e-11   1.2938e+10
6.0000e-01   5.8030e-11   1.0339e+10
6.5000e-01   3.5890e-10   1.8111e+09
7.0000e-01   2.0246e-09   3.4575e+08
7.5000e-01   4.5407e-09   1.6517e+08
8.0000e-01   4.7218e-09   1.6943e+08
8.5000e-01   5.0436e-09   1.6853e+08
9.0000e-01   6.4643e-09   1.3923e+08
9.5000e-01   5.4198e-08   1.7528e+07
1.0000e+00   5.3011e-08   1.8864e+07
1.0500e+00   7.4211e-08   1.4149e+07
1.1000e+00   7.7228e-08   1.4243e+07
1.1500e+00   8.8162e-08   1.3044e+07
1.2000e+00   1.6582e-07   7.2368e+06
1.2500e+00   1.9008e-07   6.5762e+06
1.3000e+00   2.3676e-07   5.4908e+06
1.3500e+00   2.6620e-07   5.0714e+06
1.4000e+00   5.4018e-07   2.5917e+06
1.4500e+00   5.4688e-06   2.6514e+05
1.5000e+00   7.7194e-06   1.9432e+05
1.5500e+00   9.9980e-06   1.5503e+05
1.6000e+00   9.9996e-06   1.6001e+05
1.6500e+00   9.9996e-06   1.6501e+05
1.7000e+00   1.0001e-05   1.6999e+05
1.7500e+00   1.0000e-05   1.7499e+05
1.8000e+00   1.0000e-05   1.8000e+05
1.8500e+00   9.9976e-06   1.8504e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.9500e+00   1.0000e-05   1.9499e+05
2.0000e+00   9.9949e-06   2.0010e+05
2.0000e+00   1.0001e-05   1.9998e+05
1.9500e+00   1.0001e-05   1.9498e+05
1.9000e+00   1.0003e-05   1.8995e+05
1.8500e+00   1.0002e-05   1.8496e+05
1.8000e+00   1.0001e-05   1.7999e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.7000e+00   1.0001e-05   1.6998e+05
1.6500e+00   9.9987e-06   1.6502e+05
