  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739704.755337                   43

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -8.7200e-12   -0.0000e+00
5.0000e-02   1.0000e-13   5.0000e+11
1.0000e-01   1.3380e-11   7.4738e+09
1.5000e-01   2.6300e-12   5.7034e+10
2.0000e-01   -4.7600e-12   -4.2017e+10
2.5000e-01   9.0000e-13   2.7778e+11
3.0000e-01   1.4190e-11   2.1142e+10
3.5000e-01   2.6760e-11   1.3079e+10
4.0000e-01   9.5600e-12   4.1841e+10
4.5000e-01   1.7600e-11   2.5568e+10
5.0000e-01   4.2850e-11   1.1669e+10
5.5000e-01   1.3276e-08   4.1428e+07
6.0000e-01   2.4584e-08   2.4406e+07
6.5000e-01   3.3361e-08   1.9484e+07
7.0000e-01   4.3324e-08   1.6157e+07
7.5000e-01   8.2848e-08   9.0527e+06
8.0000e-01   3.1228e-07   2.5618e+06
8.5000e-01   8.2868e-07   1.0257e+06
9.0000e-01   2.4263e-06   3.7094e+05
9.5000e-01   2.6472e-06   3.5887e+05
1.0000e+00   5.3160e-06   1.8811e+05
1.0000e+00   8.2752e-06   1.2084e+05
9.5000e-01   6.1068e-06   1.5556e+05
9.0000e-01   5.9563e-06   1.5110e+05
8.5000e-01   5.6938e-06   1.4929e+05
8.0000e-01   3.8066e-06   2.1016e+05
7.5000e-01   4.1555e-06   1.8048e+05
7.0000e-01   3.0131e-06   2.3232e+05
6.5000e-01   2.6443e-06   2.4581e+05
6.0000e-01   2.2431e-06   2.6749e+05
5.5000e-01   1.5123e-06   3.6368e+05
5.0000e-01   9.6070e-07   5.2045e+05
4.5000e-01   8.6112e-07   5.2258e+05
4.0000e-01   6.8938e-07   5.8023e+05
3.5000e-01   5.6362e-07   6.2099e+05
3.0000e-01   2.7558e-07   1.0886e+06
2.5000e-01   1.1952e-07   2.0917e+06
2.0000e-01   4.1729e-08   4.7928e+06
1.5000e-01   2.8359e-08   5.2894e+06
1.0000e-01   1.8400e-11   5.4348e+09
5.0000e-02   6.0500e-12   8.2645e+09
0.0000e+00   1.1140e-11   0.0000e+00
0.0000e+00   1.1610e-11   0.0000e+00
-5.0000e-02   2.6000e-13   -1.9231e+11
-1.0000e-01   -1.2410e-11   8.0580e+09
-1.5000e-01   -1.8200e-12   8.2418e+10
-2.0000e-01   3.7800e-12   -5.2910e+10
-2.5000e-01   6.3400e-12   -3.9432e+10
-3.0000e-01   -1.3580e-11   2.2091e+10
-3.5000e-01   -2.3240e-11   1.5060e+10
-4.0000e-01   -4.0700e-12   9.8280e+10
-4.5000e-01   -1.7660e-11   2.5481e+10
-5.0000e-01   -2.4600e-11   2.0325e+10
-5.5000e-01   -5.8590e-11   9.3873e+09
-6.0000e-01   -8.4780e-11   7.0771e+09
-6.5000e-01   -1.4157e-10   4.5914e+09
-7.0000e-01   -1.3809e-10   5.0692e+09
-7.5000e-01   -2.2257e-10   3.3697e+09
-8.0000e-01   -2.4969e-10   3.2040e+09
-8.5000e-01   -2.9556e-10   2.8759e+09
-9.0000e-01   -3.3736e-10   2.6678e+09
-9.5000e-01   -3.6567e-10   2.5980e+09
-1.0000e+00   -4.1367e-10   2.4174e+09
-1.0000e+00   -4.4494e-10   2.2475e+09
-9.5000e-01   -4.0105e-10   2.3688e+09
-9.0000e-01   -3.3662e-10   2.6736e+09
-8.5000e-01   -2.7853e-10   3.0517e+09
-8.0000e-01   -2.2823e-10   3.5052e+09
-7.5000e-01   -1.7733e-10   4.2294e+09
-7.0000e-01   -1.3961e-10   5.0140e+09
-6.5000e-01   -1.1170e-10   5.8192e+09
-6.0000e-01   -8.4450e-11   7.1048e+09
-5.5000e-01   -6.2000e-11   8.8710e+09
-5.0000e-01   -2.4400e-11   2.0492e+10
-4.5000e-01   -2.7750e-11   1.6216e+10
-4.0000e-01   -2.3020e-11   1.7376e+10
-3.5000e-01   -1.2400e-11   2.8226e+10
-3.0000e-01   3.4600e-12   -8.6705e+10
-2.5000e-01   1.3760e-11   -1.8169e+10
-2.0000e-01   3.5900e-12   -5.5710e+10
-1.5000e-01   -7.1800e-12   2.0891e+10
-1.0000e-01   -9.6000e-13   1.0417e+11
-5.0000e-02   9.5000e-12   -5.2632e+09
0.0000e+00   2.1740e-11   0.0000e+00
