  Measurement Number     Measurement type
                   4                DC IV

      Measurement ID             SeriesID
       739704.761087                    0

         MeasureMode                Bias1                Bias2
                   2                  2.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 144

        Bias        Current     Resistance
0.0000e+00   -4.4800e-12   -0.0000e+00
5.0000e-02   -3.1000e-13   -1.6129e+11
1.0000e-01   3.0600e-12   3.2680e+10
1.5000e-01   3.8400e-12   3.9063e+10
2.0000e-01   -3.6300e-12   -5.5096e+10
2.5000e-01   1.3500e-12   1.8519e+11
3.0000e-01   1.0240e-11   2.9297e+10
3.5000e-01   9.4300e-12   3.7116e+10
4.0000e-01   5.5900e-12   7.1556e+10
4.5000e-01   1.3210e-11   3.4065e+10
5.0000e-01   1.3100e-11   3.8168e+10
5.5000e-01   2.3070e-11   2.3840e+10
6.0000e-01   1.0130e-11   5.9230e+10
6.5000e-01   3.4550e-11   1.8813e+10
7.0000e-01   3.3310e-11   2.1015e+10
7.5000e-01   3.1540e-11   2.3779e+10
8.0000e-01   6.1930e-11   1.2918e+10
8.5000e-01   6.9100e-11   1.2301e+10
9.0000e-01   9.1440e-11   9.8425e+09
9.5000e-01   1.0833e-10   8.7695e+09
1.0000e+00   1.2105e-10   8.2610e+09
1.0500e+00   1.4162e-10   7.4142e+09
1.1000e+00   1.8985e-10   5.7940e+09
1.1500e+00   2.3302e-10   4.9352e+09
1.2000e+00   2.4581e-10   4.8818e+09
1.2500e+00   2.7780e-10   4.4996e+09
1.3000e+00   3.8622e-10   3.3660e+09
1.3500e+00   2.7570e-10   4.8966e+09
1.4000e+00   3.2876e-10   4.2584e+09
1.4500e+00   3.5438e-10   4.0917e+09
1.5000e+00   4.9284e-10   3.0436e+09
1.5500e+00   4.0290e-10   3.8471e+09
1.6000e+00   4.3048e-10   3.7168e+09
1.6500e+00   4.9139e-10   3.3578e+09
1.7000e+00   6.2451e-10   2.7221e+09
1.7500e+00   7.9121e-10   2.2118e+09
1.8000e+00   8.6641e-10   2.0775e+09
