  Measurement Number     Measurement type
                  12                DC IV

      Measurement ID             SeriesID
       739704.740009                   64

         MeasureMode                Bias1                Bias2
                   2                 -2.5                  2.5

                Step  Positive compliance  Negative compliance
                0.05                 0.01                 0.01

  RealMeasuredPoints
                 204

        Bias        Current     Resistance
0.0000e+00   2.4300e-12   0.0000e+00
-5.0000e-02   -5.6117e-10   8.9100e+07
-1.0000e-01   -1.0300e-09   9.7087e+07
-1.5000e-01   -1.5224e-09   9.8529e+07
-2.0000e-01   -1.8622e-09   1.0740e+08
-2.5000e-01   -1.6414e-09   1.5231e+08
-3.0000e-01   -3.2446e-09   9.2461e+07
-3.5000e-01   -7.5967e-09   4.6073e+07
-4.0000e-01   -1.2422e-08   3.2201e+07
-4.5000e-01   -1.3027e-08   3.4544e+07
-5.0000e-01   -1.3328e-08   3.7515e+07
-5.5000e-01   -2.1693e-08   2.5353e+07
-6.0000e-01   -1.9892e-08   3.0163e+07
-6.5000e-01   -2.9896e-08   2.1742e+07
-7.0000e-01   -5.5246e-08   1.2671e+07
-7.5000e-01   -7.5007e-08   9.9991e+06
-8.0000e-01   -9.1105e-08   8.7811e+06
-8.5000e-01   -3.7356e-08   2.2754e+07
-9.0000e-01   -2.4555e-08   3.6653e+07
-9.5000e-01   -3.8130e-08   2.4915e+07
-1.0000e+00   -4.2102e-08   2.3752e+07
-1.0500e+00   -5.0865e-08   2.0643e+07
-1.1000e+00   -1.6668e-07   6.5995e+06
-1.1500e+00   -2.1028e-07   5.4689e+06
-1.2000e+00   -2.2192e-07   5.4074e+06
-1.2500e+00   -2.8082e-07   4.4512e+06
-1.3000e+00   -3.0328e-07   4.2865e+06
-1.3500e+00   -3.1866e-07   4.2365e+06
-1.4000e+00   -2.9110e-07   4.8093e+06
-1.4500e+00   -2.7070e-07   5.3565e+06
-1.5000e+00   -4.6512e-07   3.2250e+06
-1.5500e+00   -7.0258e-07   2.2062e+06
-1.6000e+00   -1.3828e-03   1.1571e+03
-1.6500e+00   -1.4220e-03   1.1603e+03
-1.7000e+00   -1.4822e-03   1.1469e+03
-1.7500e+00   -1.5228e-03   1.1492e+03
-1.8000e+00   -1.5796e-03   1.1395e+03
-1.8500e+00   -1.6448e-03   1.1248e+03
-1.9000e+00   -1.7482e-03   1.0868e+03
-1.9500e+00   -1.8014e-03   1.0825e+03
-2.0000e+00   -1.8632e-03   1.0734e+03
-2.0500e+00   -1.9092e-03   1.0737e+03
-2.1000e+00   -1.9632e-03   1.0697e+03
-2.1500e+00   -2.0056e-03   1.0720e+03
-2.2000e+00   -2.0576e-03   1.0692e+03
-2.2500e+00   -2.1160e-03   1.0633e+03
-2.3000e+00   -2.1456e-03   1.0720e+03
-2.3500e+00   -2.1396e-03   1.0983e+03
-2.4000e+00   -2.2256e-03   1.0784e+03
-2.4500e+00   -2.2672e-03   1.0806e+03
-2.5000e+00   -2.3106e-03   1.0820e+03
-2.5000e+00   -2.3064e-03   1.0839e+03
-2.4500e+00   -2.2670e-03   1.0807e+03
-2.4000e+00   -2.2134e-03   1.0843e+03
-2.3500e+00   -2.1518e-03   1.0921e+03
-2.3000e+00   -2.1236e-03   1.0831e+03
-2.2500e+00   -2.0614e-03   1.0915e+03
-2.2000e+00   -2.0050e-03   1.0973e+03
-2.1500e+00   -1.9602e-03   1.0968e+03
-2.1000e+00   -1.9152e-03   1.0965e+03
-2.0500e+00   -1.8600e-03   1.1022e+03
-2.0000e+00   -1.8154e-03   1.1017e+03
-1.9500e+00   -1.7634e-03   1.1058e+03
-1.9000e+00   -1.7090e-03   1.1118e+03
-1.8500e+00   -1.6584e-03   1.1155e+03
-1.8000e+00   -1.6076e-03   1.1197e+03
-1.7500e+00   -1.5584e-03   1.1229e+03
-1.7000e+00   -1.5060e-03   1.1288e+03
-1.6500e+00   -1.4588e-03   1.1311e+03
-1.6000e+00   -1.4104e-03   1.1344e+03
-1.5500e+00   -1.3570e-03   1.1422e+03
-1.5000e+00   -1.3108e-03   1.1443e+03
-1.4500e+00   -1.2614e-03   1.1495e+03
-1.4000e+00   -1.2138e-03   1.1534e+03
-1.3500e+00   -1.1648e-03   1.1590e+03
-1.3000e+00   -1.1168e-03   1.1640e+03
-1.2500e+00   -1.0706e-03   1.1676e+03
-1.2000e+00   -1.0236e-03   1.1723e+03
-1.1500e+00   -9.7726e-04   1.1768e+03
-1.1000e+00   -9.3066e-04   1.1820e+03
-1.0500e+00   -8.8452e-04   1.1871e+03
-1.0000e+00   -8.3898e-04   1.1919e+03
-9.5000e-01   -7.9386e-04   1.1967e+03
-9.0000e-01   -7.4976e-04   1.2004e+03
-8.5000e-01   -7.0528e-04   1.2052e+03
-8.0000e-01   -6.6072e-04   1.2108e+03
-7.5000e-01   -6.1684e-04   1.2159e+03
-7.0000e-01   -5.7346e-04   1.2207e+03
-6.5000e-01   -5.3020e-04   1.2260e+03
-6.0000e-01   -4.8764e-04   1.2304e+03
-5.5000e-01   -4.4536e-04   1.2350e+03
-5.0000e-01   -4.0322e-04   1.2400e+03
-4.5000e-01   -3.6132e-04   1.2454e+03
-4.0000e-01   -3.1994e-04   1.2502e+03
-3.5000e-01   -2.7912e-04   1.2539e+03
-3.0000e-01   -2.3836e-04   1.2586e+03
-2.5000e-01   -1.9800e-04   1.2626e+03
-2.0000e-01   -1.5802e-04   1.2657e+03
-1.5000e-01   -1.1808e-04   1.2703e+03
-1.0000e-01   -7.8664e-05   1.2712e+03
-5.0000e-02   -3.9202e-05   1.2754e+03
0.0000e+00   1.1622e-07   0.0000e+00
0.0000e+00   1.0652e-07   0.0000e+00
5.0000e-02   3.9376e-05   1.2698e+03
1.0000e-01   7.8620e-05   1.2719e+03
1.5000e-01   1.1794e-04   1.2718e+03
2.0000e-01   1.5748e-04   1.2700e+03
2.5000e-01   1.9712e-04   1.2683e+03
3.0000e-01   2.3694e-04   1.2661e+03
3.5000e-01   2.7700e-04   1.2635e+03
4.0000e-01   3.1728e-04   1.2607e+03
4.5000e-01   3.5798e-04   1.2571e+03
5.0000e-01   3.9854e-04   1.2546e+03
5.5000e-01   4.3962e-04   1.2511e+03
6.0000e-01   4.8076e-04   1.2480e+03
6.5000e-01   5.2196e-04   1.2453e+03
7.0000e-01   5.6418e-04   1.2407e+03
7.5000e-01   6.0570e-04   1.2382e+03
8.0000e-01   6.4794e-04   1.2347e+03
8.5000e-01   6.9074e-04   1.2306e+03
9.0000e-01   7.3360e-04   1.2268e+03
9.5000e-01   7.7656e-04   1.2233e+03
1.0000e+00   8.1862e-04   1.2216e+03
1.0500e+00   8.6380e-04   1.2156e+03
1.1000e+00   9.0712e-04   1.2126e+03
1.1500e+00   9.5324e-04   1.2064e+03
1.2000e+00   1.0029e-03   1.1966e+03
1.2500e+00   1.0473e-03   1.1935e+03
1.3000e+00   1.0947e-03   1.1876e+03
1.3500e+00   1.1456e-03   1.1784e+03
1.4000e+00   1.2008e-03   1.1659e+03
1.4500e+00   1.2534e-03   1.1569e+03
1.5000e+00   1.3046e-03   1.1498e+03
1.5500e+00   1.3562e-03   1.1429e+03
1.6000e+00   1.4126e-03   1.1327e+03
1.6500e+00   1.4688e-03   1.1234e+03
1.7000e+00   1.5210e-03   1.1177e+03
1.7500e+00   1.5762e-03   1.1103e+03
1.8000e+00   1.6296e-03   1.1046e+03
1.8500e+00   1.6826e-03   1.0995e+03
1.9000e+00   1.7228e-03   1.1029e+03
1.9500e+00   1.7908e-03   1.0889e+03
2.0000e+00   1.8568e-03   1.0771e+03
2.0500e+00   1.9186e-03   1.0685e+03
