  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739704.741231                   10

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   6.6600e-12   0.0000e+00
5.0000e-02   5.2459e-10   9.5313e+07
1.0000e-01   1.0794e-09   9.2644e+07
1.5000e-01   1.8106e-09   8.2845e+07
2.0000e-01   2.3639e-09   8.4606e+07
2.5000e-01   3.4271e-09   7.2948e+07
3.0000e-01   4.5284e-09   6.6249e+07
3.5000e-01   5.3936e-09   6.4892e+07
4.0000e-01   6.1885e-09   6.4636e+07
4.5000e-01   6.9582e-09   6.4672e+07
5.0000e-01   7.1019e-09   7.0404e+07
5.5000e-01   7.2099e-09   7.6284e+07
6.0000e-01   8.2272e-09   7.2929e+07
6.5000e-01   9.1748e-09   7.0846e+07
7.0000e-01   1.0537e-08   6.6435e+07
7.5000e-01   1.2981e-08   5.7775e+07
8.0000e-01   1.4943e-08   5.3537e+07
8.5000e-01   1.6363e-08   5.1946e+07
9.0000e-01   2.7389e-08   3.2860e+07
9.5000e-01   4.6718e-08   2.0335e+07
1.0000e+00   3.5884e-07   2.7868e+06
1.0500e+00   7.4046e-07   1.4180e+06
1.1000e+00   1.0001e-06   1.0999e+06
1.1500e+00   1.0001e-06   1.1499e+06
1.2000e+00   9.9996e-07   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   1.0000e-06   1.2999e+06
1.3500e+00   1.0000e-06   1.3499e+06
1.4000e+00   1.0001e-06   1.3999e+06
1.4500e+00   1.0001e-06   1.4499e+06
1.5000e+00   1.0001e-06   1.4999e+06
1.5500e+00   1.0000e-06   1.5499e+06
1.6000e+00   1.0000e-06   1.5999e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0001e-06   1.7499e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.9000e+00   1.0001e-06   1.8999e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   1.9999e+06
2.0000e+00   1.0001e-06   1.9999e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0001e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8499e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.6999e+06
1.6500e+00   1.0001e-06   1.6499e+06
