  Measurement Number     Measurement type
                 118                DC IV

      Measurement ID             SeriesID
       739704.750998                   96

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   1.7900e-12   0.0000e+00
5.0000e-02   -1.5900e-12   -3.1447e+10
1.0000e-01   -2.8000e-12   -3.5714e+10
1.5000e-01   1.4480e-11   1.0359e+10
2.0000e-01   2.2470e-11   8.9008e+09
2.5000e-01   6.3200e-12   3.9557e+10
3.0000e-01   2.3000e-13   1.3043e+12
3.5000e-01   2.5460e-11   1.3747e+10
4.0000e-01   4.4800e-11   8.9286e+09
4.5000e-01   4.6560e-11   9.6649e+09
5.0000e-01   4.7610e-11   1.0502e+10
5.5000e-01   7.1100e-11   7.7356e+09
6.0000e-01   8.2990e-11   7.2298e+09
6.5000e-01   1.0048e-10   6.4689e+09
7.0000e-01   4.0100e-07   1.7456e+06
7.5000e-01   4.4268e-07   1.6942e+06
8.0000e-01   5.3246e-07   1.5025e+06
8.5000e-01   5.6946e-07   1.4926e+06
9.0000e-01   8.0148e-07   1.1229e+06
9.5000e-01   8.1330e-07   1.1681e+06
1.0000e+00   8.9034e-07   1.1232e+06
1.0500e+00   1.7078e-06   6.1483e+05
1.1000e+00   2.0205e-06   5.4442e+05
1.1500e+00   2.0186e-06   5.6970e+05
1.2000e+00   1.3661e-06   8.7841e+05
1.2500e+00   1.6468e-06   7.5905e+05
1.3000e+00   1.7736e-06   7.3297e+05
1.3500e+00   2.2329e-06   6.0459e+05
1.4000e+00   2.8033e-06   4.9941e+05
1.4500e+00   1.0001e-05   1.4499e+05
1.5000e+00   9.9981e-06   1.5003e+05
1.5500e+00   9.9992e-06   1.5501e+05
1.6000e+00   9.9983e-06   1.6003e+05
1.6500e+00   1.0001e-05   1.6499e+05
1.7000e+00   9.9996e-06   1.7001e+05
1.7500e+00   9.9993e-06   1.7501e+05
1.8000e+00   1.0001e-05   1.7998e+05
1.8500e+00   9.9997e-06   1.8501e+05
1.9000e+00   9.9996e-06   1.9001e+05
1.9500e+00   9.9997e-06   1.9501e+05
2.0000e+00   1.0001e-05   1.9998e+05
2.0000e+00   1.0000e-05   2.0000e+05
1.9500e+00   9.9999e-06   1.9500e+05
1.9000e+00   9.9999e-06   1.9000e+05
1.8500e+00   1.0000e-05   1.8500e+05
1.8000e+00   9.9999e-06   1.8000e+05
1.7500e+00   9.9990e-06   1.7502e+05
1.7000e+00   1.0000e-05   1.6999e+05
1.6500e+00   9.9993e-06   1.6501e+05
