  Measurement Number     Measurement type
                   2                DC IV

      Measurement ID             SeriesID
       739704.742319                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -8.9600e-12   -0.0000e+00
5.0000e-02   -1.2660e-11   -3.9494e+09
1.0000e-01   1.0000e-14   1.0000e+13
1.5000e-01   7.6900e-12   1.9506e+10
2.0000e-01   2.0380e-11   9.8135e+09
2.5000e-01   4.2800e-12   5.8411e+10
3.0000e-01   3.1900e-12   9.4044e+10
3.5000e-01   2.1490e-11   1.6287e+10
4.0000e-01   3.9420e-11   1.0147e+10
4.5000e-01   5.2230e-11   8.6157e+09
5.0000e-01   3.9480e-11   1.2665e+10
5.5000e-01   5.1980e-11   1.0581e+10
6.0000e-01   7.5600e-11   7.9365e+09
6.5000e-01   9.0860e-11   7.1539e+09
7.0000e-01   3.8990e-10   1.7953e+09
7.5000e-01   2.6325e-09   2.8490e+08
8.0000e-01   2.7008e-09   2.9621e+08
8.5000e-01   4.4128e-09   1.9262e+08
9.0000e-01   1.9498e-08   4.6159e+07
9.5000e-01   2.2749e-08   4.1761e+07
1.0000e+00   3.2235e-08   3.1022e+07
1.0500e+00   3.9497e-08   2.6584e+07
1.1000e+00   6.4607e-08   1.7026e+07
1.1500e+00   1.5376e-07   7.4792e+06
1.2000e+00   2.1692e-07   5.5320e+06
1.2500e+00   3.7148e-07   3.3649e+06
1.3000e+00   1.0001e-06   1.2999e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.4500e+00   1.0000e-06   1.4499e+06
1.5000e+00   1.0000e-06   1.4999e+06
1.5500e+00   1.0000e-06   1.5499e+06
1.6000e+00   9.9998e-07   1.6000e+06
1.6500e+00   1.0000e-06   1.6500e+06
1.7000e+00   1.0000e-06   1.6999e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.8000e+00   1.0001e-06   1.7999e+06
1.8500e+00   1.0001e-06   1.8499e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   1.9999e+06
2.0000e+00   1.0000e-06   1.9999e+06
1.9500e+00   1.0000e-06   1.9500e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0001e-06   1.8499e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6499e+06
