  Measurement Number     Measurement type
                  15                DC IV

      Measurement ID             SeriesID
       739704.735581                   13

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -1.3330e-11   -0.0000e+00
5.0000e-02   -1.1200e-12   -4.4643e+10
1.0000e-01   5.6900e-12   1.7575e+10
1.5000e-01   1.6190e-11   9.2650e+09
2.0000e-01   1.5800e-12   1.2658e+11
2.5000e-01   -6.1200e-12   -4.0850e+10
3.0000e-01   -4.6200e-12   -6.4935e+10
3.5000e-01   4.5000e-13   7.7778e+11
4.0000e-01   2.1180e-11   1.8886e+10
4.5000e-01   1.1400e-11   3.9474e+10
5.0000e-01   -2.2700e-12   -2.2026e+11
5.5000e-01   -6.3400e-12   -8.6751e+10
6.0000e-01   7.6300e-12   7.8637e+10
6.5000e-01   2.8570e-11   2.2751e+10
7.0000e-01   1.1818e-09   5.9232e+08
7.5000e-01   4.7754e-08   1.5705e+07
8.0000e-01   4.7708e-08   1.6769e+07
8.5000e-01   5.0075e-08   1.6975e+07
9.0000e-01   6.9156e-08   1.3014e+07
9.5000e-01   9.4973e-08   1.0003e+07
1.0000e+00   9.4821e-08   1.0546e+07
1.0000e+00   1.0908e-07   9.1676e+06
9.5000e-01   7.7490e-08   1.2260e+07
9.0000e-01   7.2001e-08   1.2500e+07
8.5000e-01   2.8267e-08   3.0070e+07
8.0000e-01   2.3944e-08   3.3412e+07
7.5000e-01   2.8919e-08   2.5934e+07
7.0000e-01   8.4684e-09   8.2660e+07
6.5000e-01   6.4598e-09   1.0062e+08
6.0000e-01   4.5329e-09   1.3237e+08
5.5000e-01   6.5420e-11   8.4072e+09
5.0000e-01   1.2790e-11   3.9093e+10
4.5000e-01   7.5700e-12   5.9445e+10
4.0000e-01   2.5840e-11   1.5480e+10
3.5000e-01   2.3710e-11   1.4762e+10
3.0000e-01   1.4340e-11   2.0921e+10
2.5000e-01   -1.1800e-12   -2.1186e+11
2.0000e-01   -1.3290e-11   -1.5049e+10
1.5000e-01   7.5100e-12   1.9973e+10
1.0000e-01   1.2610e-11   7.9302e+09
5.0000e-02   9.3100e-12   5.3706e+09
0.0000e+00   3.4300e-12   0.0000e+00
0.0000e+00   -9.9000e-13   -0.0000e+00
-5.0000e-02   2.1800e-12   -2.2936e+10
-1.0000e-01   1.3250e-11   -7.5472e+09
-1.5000e-01   -9.0200e-12   1.6630e+10
-2.0000e-01   -1.0760e-11   1.8587e+10
-2.5000e-01   -1.0800e-11   2.3148e+10
-3.0000e-01   -1.5470e-11   1.9392e+10
-3.5000e-01   -2.1500e-12   1.6279e+11
-4.0000e-01   4.8400e-12   -8.2645e+10
-4.5000e-01   9.5700e-12   -4.7022e+10
-5.0000e-01   -4.2300e-12   1.1820e+11
-5.5000e-01   -1.9680e-11   2.7947e+10
-6.0000e-01   -6.1600e-12   9.7403e+10
-6.5000e-01   1.7000e-12   -3.8235e+11
-7.0000e-01   7.2100e-12   -9.7087e+10
-7.5000e-01   2.4500e-12   -3.0612e+11
-8.0000e-01   -2.1960e-11   3.6430e+10
-8.5000e-01   -1.9310e-11   4.4019e+10
-9.0000e-01   -4.1800e-12   2.1531e+11
-9.5000e-01   1.6000e-12   -5.9375e+11
-1.0000e+00   -4.3300e-12   2.3095e+11
-1.0000e+00   -1.8650e-11   5.3619e+10
-9.5000e-01   -1.5300e-12   6.2092e+11
-9.0000e-01   8.5300e-12   -1.0551e+11
-8.5000e-01   2.3900e-12   -3.5565e+11
-8.0000e-01   -1.3490e-11   5.9303e+10
-7.5000e-01   -8.3300e-12   9.0036e+10
-7.0000e-01   2.3800e-12   -2.9412e+11
-6.5000e-01   1.2010e-11   -5.4122e+10
-6.0000e-01   8.4300e-12   -7.1174e+10
-5.5000e-01   -1.3640e-11   4.0323e+10
-5.0000e-01   8.7000e-13   -5.7471e+11
-4.5000e-01   1.1350e-11   -3.9648e+10
-4.0000e-01   1.0820e-11   -3.6969e+10
-3.5000e-01   4.0000e-13   -8.7500e+11
-3.0000e-01   -8.4700e-12   3.5419e+10
-2.5000e-01   1.3840e-11   -1.8064e+10
-2.0000e-01   1.5290e-11   -1.3080e+10
-1.5000e-01   9.4600e-12   -1.5856e+10
-1.0000e-01   -1.5800e-12   6.3291e+10
-5.0000e-02   -8.3900e-12   5.9595e+09
0.0000e+00   1.0480e-11   0.0000e+00
