  Measurement Number     Measurement type
                1064                DC IV

      Measurement ID             SeriesID
       739707.750381                   66

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   5.1000e-12   0.0000e+00
5.0000e-02   1.6800e-11   2.9762e+09
1.0000e-01   1.3500e-12   7.4074e+10
1.5000e-01   -1.1370e-11   -1.3193e+10
2.0000e-01   1.2000e-12   1.6667e+11
2.5000e-01   9.3100e-12   2.6853e+10
3.0000e-01   5.0700e-12   5.9172e+10
3.5000e-01   -1.0580e-11   -3.3081e+10
4.0000e-01   -4.2500e-12   -9.4118e+10
4.5000e-01   1.7870e-11   2.5182e+10
5.0000e-01   4.0591e-06   1.2318e+05
5.5000e-01   5.0419e-06   1.0909e+05
6.0000e-01   9.9987e-06   6.0008e+04
6.5000e-01   1.0000e-05   6.5000e+04
7.0000e-01   1.0001e-05   6.9990e+04
7.5000e-01   9.9999e-06   7.5001e+04
8.0000e-01   1.0000e-05   8.0000e+04
8.5000e-01   9.9997e-06   8.5003e+04
9.0000e-01   1.0001e-05   8.9991e+04
9.5000e-01   9.9998e-06   9.5002e+04
1.0000e+00   1.0001e-05   9.9987e+04
1.0000e+00   1.0000e-05   1.0000e+05
9.5000e-01   1.0000e-05   9.5000e+04
9.0000e-01   1.0002e-05   8.9983e+04
8.5000e-01   1.0001e-05   8.4995e+04
8.0000e-01   9.9997e-06   8.0002e+04
7.5000e-01   9.9986e-06   7.5011e+04
7.0000e-01   1.0000e-05   6.9997e+04
6.5000e-01   9.9995e-06   6.5003e+04
6.0000e-01   9.9997e-06   6.0002e+04
5.5000e-01   1.0000e-05   5.4999e+04
5.0000e-01   1.0000e-05   5.0000e+04
4.5000e-01   9.9996e-06   4.5002e+04
4.0000e-01   9.9999e-06   4.0000e+04
3.5000e-01   1.0000e-05   3.4999e+04
3.0000e-01   9.5596e-06   3.1382e+04
2.5000e-01   7.6373e-06   3.2734e+04
2.0000e-01   6.2502e-06   3.1999e+04
1.5000e-01   4.4725e-06   3.3538e+04
1.0000e-01   2.0005e-06   4.9988e+04
5.0000e-02   1.3280e-07   3.7651e+05
0.0000e+00   -5.8870e-11   -0.0000e+00
0.0000e+00   -1.1010e-11   -0.0000e+00
-5.0000e-02   -4.3900e-12   1.1390e+10
-1.0000e-01   9.8900e-12   -1.0111e+10
-1.5000e-01   8.0100e-12   -1.8727e+10
-2.0000e-01   1.9900e-12   -1.0050e+11
-2.5000e-01   -5.2000e-12   4.8077e+10
-3.0000e-01   -1.5960e-11   1.8797e+10
-3.5000e-01   -2.7500e-12   1.2727e+11
-4.0000e-01   6.4100e-12   -6.2402e+10
-4.5000e-01   4.8600e-12   -9.2593e+10
-5.0000e-01   -1.1990e-11   4.1701e+10
-5.5000e-01   -1.5710e-11   3.5010e+10
-6.0000e-01   -3.4800e-12   1.7241e+11
-6.5000e-01   5.0300e-12   -1.2922e+11
-7.0000e-01   -5.9000e-13   1.1864e+12
-7.5000e-01   -6.8200e-12   1.0997e+11
-8.0000e-01   -2.1000e-11   3.8095e+10
-8.5000e-01   -1.0350e-11   8.2126e+10
-9.0000e-01   -3.8600e-12   2.3316e+11
-9.5000e-01   -3.3600e-12   2.8274e+11
-1.0000e+00   -1.3340e-11   7.4963e+10
-1.0000e+00   -1.3200e-11   7.5758e+10
-9.5000e-01   -6.9000e-13   1.3768e+12
-9.0000e-01   1.0470e-11   -8.5960e+10
-8.5000e-01   -5.8700e-12   1.4480e+11
-8.0000e-01   -1.5050e-11   5.3156e+10
-7.5000e-01   -8.8400e-12   8.4842e+10
-7.0000e-01   3.8000e-12   -1.8421e+11
-6.5000e-01   8.0300e-12   -8.0946e+10
-6.0000e-01   9.2700e-12   -6.4725e+10
-5.5000e-01   -6.4300e-12   8.5537e+10
-5.0000e-01   -5.5400e-12   9.0253e+10
-4.5000e-01   -4.4600e-12   1.0090e+11
-4.0000e-01   2.2000e-12   -1.8182e+11
-3.5000e-01   1.7370e-11   -2.0150e+10
-3.0000e-01   3.7600e-12   -7.9787e+10
-2.5000e-01   -7.0400e-12   3.5511e+10
-2.0000e-01   3.2800e-12   -6.0976e+10
-1.5000e-01   1.1850e-11   -1.2658e+10
-1.0000e-01   1.6740e-11   -5.9737e+09
-5.0000e-02   1.3040e-11   -3.8344e+09
0.0000e+00   -1.9300e-12   -0.0000e+00
