  Measurement Number     Measurement type
                 694                DC IV

      Measurement ID             SeriesID
       739707.728874                   66

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   5.3100e-12   0.0000e+00
5.0000e-02   -3.8000e-12   -1.3158e+10
1.0000e-01   -1.1860e-11   -8.4317e+09
1.5000e-01   5.7800e-12   2.5952e+10
2.0000e-01   1.3950e-11   1.4337e+10
2.5000e-01   4.9700e-12   5.0302e+10
3.0000e-01   -6.2000e-12   -4.8387e+10
3.5000e-01   -1.4700e-12   -2.3810e+11
4.0000e-01   1.7700e-11   2.2599e+10
4.5000e-01   1.5870e-11   2.8355e+10
5.0000e-01   5.4124e-07   9.2380e+05
5.5000e-01   3.5127e-06   1.5657e+05
6.0000e-01   9.2522e-06   6.4849e+04
6.5000e-01   1.0000e-05   6.4998e+04
7.0000e-01   1.0000e-05   6.9997e+04
7.5000e-01   1.0000e-05   7.4998e+04
8.0000e-01   9.9999e-06   8.0001e+04
8.5000e-01   1.0000e-05   8.4998e+04
9.0000e-01   1.0000e-05   9.0000e+04
9.5000e-01   1.0000e-05   9.4997e+04
1.0000e+00   1.0004e-05   9.9957e+04
1.0000e+00   9.9967e-06   1.0003e+05
9.5000e-01   9.9993e-06   9.5007e+04
9.0000e-01   9.9999e-06   9.0001e+04
8.5000e-01   9.9998e-06   8.5002e+04
8.0000e-01   1.0000e-05   7.9999e+04
7.5000e-01   9.9999e-06   7.5001e+04
7.0000e-01   1.0000e-05   6.9999e+04
6.5000e-01   1.0000e-05   6.4999e+04
6.0000e-01   9.9997e-06   6.0002e+04
5.5000e-01   1.0000e-05   5.5000e+04
5.0000e-01   9.9998e-06   5.0001e+04
4.5000e-01   1.0000e-05   4.4999e+04
4.0000e-01   9.9993e-06   4.0003e+04
3.5000e-01   9.9999e-06   3.5000e+04
3.0000e-01   9.3718e-06   3.2011e+04
2.5000e-01   7.6069e-06   3.2865e+04
2.0000e-01   5.9224e-06   3.3770e+04
1.5000e-01   4.2053e-06   3.5669e+04
1.0000e-01   2.5376e-06   3.9407e+04
5.0000e-02   -1.2670e-11   -3.9463e+09
0.0000e+00   -1.1110e-11   -0.0000e+00
0.0000e+00   1.6650e-11   0.0000e+00
-5.0000e-02   -3.0600e-12   1.6340e+10
-1.0000e-01   -1.2510e-11   7.9936e+09
-1.5000e-01   4.3500e-12   -3.4483e+10
-2.0000e-01   1.6770e-11   -1.1926e+10
-2.5000e-01   1.0270e-11   -2.4343e+10
-3.0000e-01   -5.3700e-12   5.5866e+10
-3.5000e-01   -1.1770e-11   2.9737e+10
-4.0000e-01   -1.2670e-11   3.1571e+10
-4.5000e-01   -3.8000e-12   1.1842e+11
-5.0000e-01   -1.6600e-12   3.0120e+11
-5.5000e-01   9.6100e-12   -5.7232e+10
-6.0000e-01   -2.4300e-12   2.4691e+11
-6.5000e-01   -1.9480e-11   3.3368e+10
-7.0000e-01   -1.0300e-11   6.7961e+10
-7.5000e-01   6.7100e-12   -1.1177e+11
-8.0000e-01   2.2200e-12   -3.6036e+11
-8.5000e-01   -1.4550e-11   5.8419e+10
-9.0000e-01   -2.6310e-11   3.4208e+10
-9.5000e-01   -1.9520e-11   4.8668e+10
-1.0000e+00   -7.6800e-12   1.3021e+11
-1.0000e+00   -8.9200e-12   1.1211e+11
-9.5000e-01   -1.8260e-11   5.2026e+10
-9.0000e-01   -1.9080e-11   4.7170e+10
-8.5000e-01   3.7100e-12   -2.2911e+11
-8.0000e-01   9.4000e-12   -8.5106e+10
-7.5000e-01   -3.1500e-12   2.3810e+11
-7.0000e-01   -1.5330e-11   4.5662e+10
-6.5000e-01   -2.5200e-12   2.5794e+11
-6.0000e-01   1.4000e-11   -4.2857e+10
-5.5000e-01   1.4050e-11   -3.9146e+10
-5.0000e-01   -4.2100e-12   1.1876e+11
-4.5000e-01   -1.3760e-11   3.2703e+10
-4.0000e-01   -5.1400e-12   7.7821e+10
-3.5000e-01   7.4200e-12   -4.7170e+10
-3.0000e-01   1.3020e-11   -2.3041e+10
-2.5000e-01   4.1000e-12   -6.0976e+10
-2.0000e-01   -6.9000e-12   2.8986e+10
-1.5000e-01   -1.0580e-11   1.4178e+10
-1.0000e-01   9.2900e-12   -1.0764e+10
-5.0000e-02   1.2550e-11   -3.9841e+09
0.0000e+00   1.2360e-11   0.0000e+00
