  Measurement Number     Measurement type
                   8                DC IV

      Measurement ID             SeriesID
       739707.686110                   81

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   7.2700e-12   0.0000e+00
5.0000e-02   -8.1000e-12   -6.1728e+09
1.0000e-01   -9.3700e-12   -1.0672e+10
1.5000e-01   8.2100e-12   1.8270e+10
2.0000e-01   1.2810e-11   1.5613e+10
2.5000e-01   1.3450e-11   1.8587e+10
3.0000e-01   -3.8900e-12   -7.7121e+10
3.5000e-01   -2.5400e-12   -1.3780e+11
4.0000e-01   1.2190e-11   3.2814e+10
4.5000e-01   2.5880e-11   1.7388e+10
5.0000e-01   1.3520e-11   3.6982e+10
5.5000e-01   -6.0000e-13   -9.1667e+11
6.0000e-01   9.1500e-12   6.5574e+10
6.5000e-01   3.4910e-11   1.8619e+10
7.0000e-01   4.9280e-11   1.4205e+10
7.5000e-01   4.2390e-11   1.7693e+10
8.0000e-01   9.9961e-06   8.0031e+04
8.5000e-01   1.0001e-05   8.4989e+04
9.0000e-01   1.0001e-05   8.9993e+04
9.5000e-01   9.9972e-06   9.5027e+04
1.0000e+00   1.0000e-05   1.0000e+05
1.0500e+00   9.9991e-06   1.0501e+05
1.1000e+00   9.9954e-06   1.1005e+05
1.1500e+00   9.9983e-06   1.1502e+05
1.2000e+00   1.0001e-05   1.1999e+05
1.2500e+00   1.0003e-05   1.2497e+05
1.3000e+00   9.9976e-06   1.3003e+05
1.3500e+00   1.0000e-05   1.3499e+05
1.4000e+00   9.9984e-06   1.4002e+05
1.4500e+00   1.0000e-05   1.4500e+05
1.5000e+00   9.9969e-06   1.5005e+05
1.5500e+00   9.9992e-06   1.5501e+05
1.6000e+00   9.9998e-06   1.6000e+05
1.6500e+00   1.0003e-05   1.6496e+05
1.7000e+00   1.0002e-05   1.6997e+05
1.7500e+00   1.0003e-05   1.7495e+05
1.8000e+00   9.9998e-06   1.8000e+05
1.8500e+00   9.9994e-06   1.8501e+05
1.9000e+00   9.9953e-06   1.9009e+05
1.9500e+00   1.0003e-05   1.9494e+05
2.0000e+00   9.9993e-06   2.0001e+05
2.0000e+00   1.0000e-05   2.0000e+05
1.9500e+00   9.9991e-06   1.9502e+05
1.9000e+00   1.0001e-05   1.8999e+05
1.8500e+00   1.0006e-05   1.8490e+05
1.8000e+00   9.9999e-06   1.8000e+05
1.7500e+00   1.0001e-05   1.7498e+05
1.7000e+00   9.9998e-06   1.7000e+05
1.6500e+00   9.9996e-06   1.6501e+05
