  Measurement Number     Measurement type
                  81                DC IV

      Measurement ID             SeriesID
       739707.692580                   92

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   1.8700e-11   0.0000e+00
5.0000e-02   1.9800e-12   2.5253e+10
1.0000e-01   -9.6300e-12   -1.0384e+10
1.5000e-01   -5.7400e-12   -2.6132e+10
2.0000e-01   1.0520e-11   1.9011e+10
2.5000e-01   1.7800e-11   1.4045e+10
3.0000e-01   1.7650e-11   1.6997e+10
3.5000e-01   2.9500e-12   1.1864e+11
4.0000e-01   -6.7500e-12   -5.9259e+10
4.5000e-01   1.5570e-11   2.8902e+10
5.0000e-01   9.9995e-06   5.0003e+04
5.5000e-01   9.9995e-06   5.5003e+04
6.0000e-01   1.0000e-05   5.9998e+04
6.5000e-01   1.0000e-05   6.4999e+04
7.0000e-01   9.9999e-06   7.0001e+04
7.5000e-01   9.9998e-06   7.5002e+04
8.0000e-01   1.0000e-05   7.9999e+04
8.5000e-01   1.0000e-05   8.4999e+04
9.0000e-01   1.0000e-05   8.9999e+04
9.5000e-01   1.0000e-05   9.4998e+04
1.0000e+00   1.0000e-05   9.9998e+04
1.0000e+00   1.0000e-05   1.0000e+05
9.5000e-01   1.0000e-05   9.5000e+04
9.0000e-01   1.0000e-05   8.9997e+04
8.5000e-01   9.9998e-06   8.5002e+04
8.0000e-01   9.9999e-06   8.0001e+04
7.5000e-01   1.0001e-05   7.4996e+04
7.0000e-01   9.9999e-06   7.0001e+04
6.5000e-01   9.9996e-06   6.5003e+04
6.0000e-01   1.0000e-05   6.0000e+04
5.5000e-01   9.9999e-06   5.5001e+04
5.0000e-01   9.9990e-06   5.0005e+04
4.5000e-01   1.0001e-05   4.4997e+04
4.0000e-01   9.9996e-06   4.0002e+04
3.5000e-01   1.0000e-05   3.4999e+04
3.0000e-01   9.9994e-06   3.0002e+04
2.5000e-01   9.7303e-06   2.5693e+04
2.0000e-01   7.5489e-06   2.6494e+04
1.5000e-01   5.4095e-06   2.7729e+04
1.0000e-01   3.6226e-06   2.7604e+04
5.0000e-02   1.0446e-07   4.7864e+05
0.0000e+00   -4.8200e-12   -0.0000e+00
0.0000e+00   1.2070e-11   0.0000e+00
-5.0000e-02   -2.3032e-10   2.1709e+08
-1.0000e-01   -3.6700e-12   2.7248e+10
-1.5000e-01   -1.4190e-11   1.0571e+10
-2.0000e-01   -9.4000e-13   2.1277e+11
-2.5000e-01   1.2520e-11   -1.9968e+10
-3.0000e-01   1.3110e-11   -2.2883e+10
-3.5000e-01   6.7400e-12   -5.1929e+10
-4.0000e-01   -1.1100e-11   3.6036e+10
-4.5000e-01   -1.1430e-11   3.9370e+10
-5.0000e-01   9.8000e-13   -5.1020e+11
-5.5000e-01   1.2430e-11   -4.4248e+10
-6.0000e-01   8.8000e-13   -6.8182e+11
-6.5000e-01   -9.8900e-12   6.5723e+10
-7.0000e-01   -1.4290e-11   4.8985e+10
-7.5000e-01   -2.3390e-11   3.2065e+10
-8.0000e-01   -5.0100e-12   1.5968e+11
-8.5000e-01   3.3100e-12   -2.5680e+11
-9.0000e-01   2.7400e-12   -3.2847e+11
-9.5000e-01   -1.0610e-11   8.9538e+10
-1.0000e+00   -2.0380e-11   4.9068e+10
-1.0000e+00   -5.6300e-12   1.7762e+11
-9.5000e-01   7.1300e-12   -1.3324e+11
-9.0000e-01   -2.4700e-12   3.6437e+11
-8.5000e-01   -1.4010e-11   6.0671e+10
-8.0000e-01   -1.3380e-11   5.9791e+10
-7.5000e-01   3.3800e-12   -2.2189e+11
-7.0000e-01   1.5900e-11   -4.4025e+10
-6.5000e-01   6.7100e-12   -9.6870e+10
-6.0000e-01   -3.6000e-12   1.6667e+11
-5.5000e-01   -1.0750e-11   5.1163e+10
-5.0000e-01   -6.9000e-13   7.2464e+11
-4.5000e-01   4.5500e-12   -9.8901e+10
-4.0000e-01   1.7150e-11   -2.3324e+10
-3.5000e-01   1.8090e-11   -1.9348e+10
-3.0000e-01   -5.8500e-12   5.1282e+10
-2.5000e-01   -1.3210e-11   1.8925e+10
-2.0000e-01   -7.6000e-12   2.6316e+10
-1.5000e-01   9.8900e-12   -1.5167e+10
-1.0000e-01   1.4410e-11   -6.9396e+09
-5.0000e-02   -2.9000e-12   1.7241e+10
0.0000e+00   -1.2290e-11   -0.0000e+00
