  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739707.645672                   82

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -2.9100e-12   -0.0000e+00
5.0000e-02   2.1320e-11   2.3452e+09
1.0000e-01   6.0000e-11   1.6667e+09
1.5000e-01   1.3306e-10   1.1273e+09
2.0000e-01   2.2278e-10   8.9775e+08
2.5000e-01   3.2126e-10   7.7819e+08
3.0000e-01   4.5538e-10   6.5879e+08
3.5000e-01   6.3686e-10   5.4957e+08
4.0000e-01   8.8569e-10   4.5163e+08
4.5000e-01   1.1711e-09   3.8425e+08
5.0000e-01   1.4960e-09   3.3422e+08
5.5000e-01   1.8458e-09   2.9797e+08
6.0000e-01   9.9018e-09   6.0595e+07
6.5000e-01   1.6416e-08   3.9596e+07
7.0000e-01   1.8938e-08   3.6963e+07
7.5000e-01   2.6102e-08   2.8733e+07
8.0000e-01   5.0644e-08   1.5797e+07
8.5000e-01   6.8658e-08   1.2380e+07
9.0000e-01   1.8684e-07   4.8170e+06
9.5000e-01   2.4816e-07   3.8282e+06
1.0000e+00   2.9826e-07   3.3528e+06
1.0500e+00   4.0438e-07   2.5966e+06
1.1000e+00   5.6690e-07   1.9404e+06
1.1500e+00   4.0202e-06   2.8606e+05
1.2000e+00   9.9999e-06   1.2000e+05
1.2500e+00   9.9983e-06   1.2502e+05
1.3000e+00   1.0001e-05   1.2998e+05
1.3500e+00   9.9990e-06   1.3501e+05
1.4000e+00   1.0001e-05   1.3999e+05
1.4500e+00   1.0000e-05   1.4500e+05
1.5000e+00   9.9981e-06   1.5003e+05
1.5500e+00   1.0001e-05   1.5499e+05
1.6000e+00   9.9995e-06   1.6001e+05
1.6500e+00   1.0000e-05   1.6500e+05
1.7000e+00   1.0000e-05   1.7000e+05
1.7500e+00   1.0000e-05   1.7500e+05
1.8000e+00   9.9993e-06   1.8001e+05
1.8500e+00   9.9991e-06   1.8502e+05
1.9000e+00   9.9995e-06   1.9001e+05
1.9500e+00   1.0000e-05   1.9500e+05
2.0000e+00   9.9990e-06   2.0002e+05
2.0000e+00   9.9996e-06   2.0001e+05
1.9500e+00   1.0000e-05   1.9500e+05
1.9000e+00   1.0000e-05   1.9000e+05
1.8500e+00   1.0000e-05   1.8500e+05
1.8000e+00   9.9979e-06   1.8004e+05
1.7500e+00   1.0001e-05   1.7498e+05
1.7000e+00   1.0000e-05   1.7000e+05
1.6500e+00   1.0001e-05   1.6499e+05
