  Measurement Number     Measurement type
                  85               OnLine

      Measurement ID                     
       739707.659488                     

          Force Mode                Value         MeasureRange
             Current                    0         1.000000e-06

    Supply Complince     Integrating time     Refresh interval
        1.000000e-03                    0                    0

        Time      Voltage      Current  Temperature
1.2426e+00   5.0005e+00   5.0000e-11             NA
1.3577e+00   5.0005e+00   0.0000e+00             NA
1.4028e+00   5.0005e+00   5.0000e-11             NA
1.5077e+00   5.0005e+00   5.0000e-11             NA
1.6027e+00   5.0005e+00   0.0000e+00             NA
1.7100e+00   5.0005e+00   5.0000e-11             NA
1.8027e+00   5.0005e+00   5.0000e-11             NA
1.9038e+00   5.0005e+00   5.0000e-11             NA
2.0028e+00   5.0005e+00   5.0000e-11             NA
2.1038e+00   5.0005e+00   5.0000e-11             NA
2.2027e+00   5.0005e+00   5.0000e-11             NA
2.3038e+00   5.0005e+00   5.0000e-11             NA
2.4027e+00   5.0005e+00   5.0000e-11             NA
2.5027e+00   5.0005e+00   0.0000e+00             NA
2.6087e+00   5.0005e+00   5.0000e-11             NA
2.7128e+00   5.0005e+00   5.0000e-11             NA
2.8028e+00   5.0005e+00   5.0000e-11             NA
2.9107e+00   5.0005e+00   5.0000e-11             NA
3.0028e+00   5.0005e+00   5.0000e-11             NA
3.1027e+00   5.0005e+00   0.0000e+00             NA
3.2047e+00   5.0005e+00   -5.0000e-11             NA
3.3027e+00   5.0005e+00   0.0000e+00             NA
3.4027e+00   5.0003e+00   5.0000e-11             NA
3.5098e+00   5.0005e+00   5.0000e-11             NA
3.6028e+00   5.0005e+00   5.0000e-11             NA
3.7037e+00   5.0005e+00   5.0000e-11             NA
3.8028e+00   5.0005e+00   5.0000e-11             NA
3.9038e+00   5.0005e+00   5.0000e-11             NA
4.0027e+00   5.0005e+00   5.0000e-11             NA
4.1038e+00   5.0005e+00   5.0000e-11             NA
4.2028e+00   5.0005e+00   5.0000e-11             NA
4.3030e+00   5.0005e+00   5.0000e-11             NA
4.4118e+00   5.0005e+00   5.0000e-11             NA
4.5027e+00   5.0005e+00   0.0000e+00             NA
4.6068e+00   5.0005e+00   5.0000e-11             NA
4.7028e+00   5.0005e+00   0.0000e+00             NA
4.8088e+00   5.0005e+00   5.0000e-11             NA
4.9028e+00   5.0005e+00   5.0000e-11             NA
5.0038e+00   5.0005e+00   5.0000e-11             NA
5.1028e+00   5.0005e+00   5.0000e-11             NA
5.2028e+00   5.0005e+00   5.0000e-11             NA
5.3118e+00   5.0003e+00   5.0000e-11             NA
5.4028e+00   5.0005e+00   0.0000e+00             NA
5.5091e+00   5.0005e+00   5.0000e-11             NA
5.6028e+00   5.0003e+00   0.0000e+00             NA
5.7059e+00   5.0005e+00   5.0000e-11             NA
5.8028e+00   5.0005e+00   0.0000e+00             NA
5.9088e+00   5.0003e+00   5.0000e-11             NA
6.0026e+00   5.0005e+00   5.0000e-11             NA
6.1067e+00   5.0005e+00   5.0000e-11             NA
6.2028e+00   5.0005e+00   0.0000e+00             NA
6.3040e+00   5.0005e+00   5.0000e-11             NA
6.4026e+00   5.0005e+00   5.0000e-11             NA
6.5059e+00   5.0005e+00   5.0000e-11             NA
6.6029e+00   5.0005e+00   5.0000e-11             NA
6.7040e+00   5.0005e+00   5.0000e-11             NA
6.8030e+00   5.0005e+00   0.0000e+00             NA
6.9060e+00   5.0005e+00   5.0000e-11             NA
7.0026e+00   5.0005e+00   5.0000e-11             NA
7.1033e+00   5.0005e+00   5.0000e-11             NA
7.2038e+00   5.0005e+00   5.0000e-11             NA
7.3029e+00   5.0005e+00   5.0000e-11             NA
7.4038e+00   5.0005e+00   5.0000e-11             NA
7.5029e+00   5.0005e+00   0.0000e+00             NA
7.6038e+00   5.0003e+00   5.0000e-11             NA
7.7028e+00   5.0005e+00   5.0000e-11             NA
7.8020e+00   5.0003e+00   5.0000e-11             NA
7.9018e+00   5.0005e+00   5.0000e-11             NA
8.0030e+00   5.0003e+00   5.0000e-11             NA
8.1018e+00   5.0005e+00   5.0000e-11             NA
8.2030e+00   5.0005e+00   0.0000e+00             NA
8.3022e+00   5.0005e+00   5.0000e-11             NA
8.4070e+00   5.0005e+00   5.0000e-11             NA
8.5021e+00   5.0005e+00   5.0000e-11             NA
8.6029e+00   5.0005e+00   5.0000e-11             NA
8.7021e+00   5.0005e+00   5.0000e-11             NA
8.8023e+00   5.0005e+00   0.0000e+00             NA
8.9080e+00   5.0005e+00   5.0000e-11             NA
9.0017e+00   5.0005e+00   5.0000e-11             NA
9.1080e+00   5.0005e+00   5.0000e-11             NA
9.2026e+00   5.0005e+00   0.0000e+00             NA
9.3079e+00   5.0005e+00   5.0000e-11             NA
9.4022e+00   5.0005e+00   5.0000e-11             NA
9.5050e+00   5.0005e+00   0.0000e+00             NA
9.6023e+00   5.0005e+00   5.0000e-11             NA
9.7082e+00   5.0005e+00   5.0000e-11             NA
9.8020e+00   5.0005e+00   5.0000e-11             NA
9.9051e+00   5.0005e+00   0.0000e+00             NA
1.0002e+01   5.0005e+00   5.0000e-11             NA
1.0108e+01   5.0005e+00   5.0000e-11             NA
1.0203e+01   5.0005e+00   0.0000e+00             NA
1.0303e+01   5.0005e+00   5.0000e-11             NA
1.0403e+01   5.0005e+00   0.0000e+00             NA
1.0509e+01   5.0005e+00   0.0000e+00             NA
1.0603e+01   5.0005e+00   0.0000e+00             NA
1.0705e+01   5.0005e+00   -5.0000e-11             NA
1.0802e+01   5.0005e+00   0.0000e+00             NA
1.0903e+01   5.0005e+00   5.0000e-11             NA
1.1004e+01   5.0005e+00   5.0000e-11             NA
1.1102e+01   5.0005e+00   5.0000e-11             NA
1.1202e+01   5.0005e+00   5.0000e-11             NA
1.1306e+01   5.0005e+00   5.0000e-11             NA
1.1402e+01   5.0005e+00   0.0000e+00             NA
1.1503e+01   5.0005e+00   5.0000e-11             NA
1.1602e+01   5.0005e+00   5.0000e-11             NA
1.1702e+01   5.0005e+00   5.0000e-11             NA
1.1810e+01   5.0005e+00   0.0000e+00             NA
1.1902e+01   5.0005e+00   0.0000e+00             NA
1.2005e+01   5.0005e+00   0.0000e+00             NA
1.2102e+01   5.0005e+00   5.0000e-11             NA
1.2203e+01   5.0005e+00   5.0000e-11             NA
1.2302e+01   5.0005e+00   5.0000e-11             NA
1.2402e+01   5.0005e+00   5.0000e-11             NA
1.2509e+01   5.0005e+00   0.0000e+00             NA
1.2602e+01   5.0005e+00   0.0000e+00             NA
1.2703e+01   5.0005e+00   5.0000e-11             NA
1.2802e+01   5.0005e+00   0.0000e+00             NA
1.2910e+01   5.0005e+00   5.0000e-11             NA
1.3002e+01   5.0005e+00   5.0000e-11             NA
1.3103e+01   5.0005e+00   5.0000e-11             NA
1.3202e+01   5.0005e+00   5.0000e-11             NA
1.3303e+01   5.0005e+00   5.0000e-11             NA
1.3402e+01   5.0005e+00   5.0000e-11             NA
1.3504e+01   5.0005e+00   -5.0000e-11             NA
1.3602e+01   5.0005e+00   5.0000e-11             NA
1.3703e+01   5.0005e+00   5.0000e-11             NA
1.3802e+01   5.0005e+00   5.0000e-11             NA
1.3902e+01   5.0005e+00   5.0000e-11             NA
1.4011e+01   5.0005e+00   5.0000e-11             NA
1.4102e+01   5.0005e+00   5.0000e-11             NA
1.4203e+01   5.0005e+00   5.0000e-11             NA
