  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739707.680192                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -3.8000e-12   -0.0000e+00
5.0000e-02   -2.8900e-12   -1.7301e+10
1.0000e-01   2.4800e-12   4.0323e+10
1.5000e-01   1.6600e-12   9.0361e+10
2.0000e-01   1.9300e-12   1.0363e+11
2.5000e-01   -1.5300e-12   -1.6340e+11
3.0000e-01   -5.4000e-13   -5.5556e+11
3.5000e-01   3.7200e-12   9.4086e+10
4.0000e-01   3.5700e-12   1.1204e+11
4.5000e-01   -2.0300e-12   -2.2167e+11
5.0000e-01   -7.7000e-13   -6.4935e+11
5.5000e-01   3.8000e-13   1.4474e+12
6.0000e-01   5.1200e-12   1.1719e+11
6.5000e-01   6.4500e-12   1.0078e+11
7.0000e-01   2.6600e-12   2.6316e+11
7.5000e-01   1.5800e-12   4.7468e+11
8.0000e-01   3.6600e-12   2.1858e+11
8.5000e-01   5.7000e-12   1.4912e+11
9.0000e-01   6.8500e-12   1.3139e+11
9.5000e-01   1.0050e-11   9.4527e+10
1.0000e+00   5.1000e-12   1.9608e+11
1.0500e+00   5.8600e-12   1.7918e+11
1.1000e+00   7.5000e-12   1.4667e+11
1.1500e+00   1.3390e-11   8.5885e+10
1.2000e+00   1.2150e-11   9.8765e+10
1.2500e+00   1.5460e-11   8.0854e+10
1.3000e+00   1.7150e-11   7.5802e+10
1.3500e+00   1.3700e-11   9.8540e+10
1.4000e+00   1.3210e-11   1.0598e+11
1.4500e+00   1.5580e-11   9.3068e+10
1.5000e+00   2.1650e-11   6.9284e+10
1.5500e+00   2.0850e-11   7.4341e+10
1.6000e+00   2.2890e-11   6.9900e+10
1.6500e+00   2.9600e-11   5.5743e+10
1.7000e+00   2.5690e-11   6.6174e+10
1.7500e+00   3.8270e-11   4.5728e+10
1.8000e+00   4.8260e-11   3.7298e+10
1.8500e+00   5.6830e-11   3.2553e+10
1.9000e+00   6.4560e-11   2.9430e+10
1.9500e+00   6.6400e-11   2.9367e+10
2.0000e+00   8.1370e-11   2.4579e+10
2.0000e+00   7.5250e-11   2.6578e+10
1.9500e+00   6.1880e-11   3.1513e+10
1.9000e+00   4.8410e-11   3.9248e+10
1.8500e+00   4.9000e-11   3.7755e+10
1.8000e+00   4.1290e-11   4.3594e+10
1.7500e+00   3.3300e-11   5.2553e+10
1.7000e+00   2.4240e-11   7.0132e+10
1.6500e+00   2.4940e-11   6.6159e+10
