  Measurement Number     Measurement type
                  31                DC IV

      Measurement ID             SeriesID
       739707.683622                    0

         MeasureMode                Bias1                Bias2
                   2                 -2.5                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                0.001

  RealMeasuredPoints
                 224

        Bias        Current     Resistance
0.0000e+00   2.0300e-12   0.0000e+00
-5.0000e-02   -6.7907e-10   7.3630e+07
-1.0000e-01   -1.5413e-09   6.4880e+07
-1.5000e-01   -2.3108e-09   6.4913e+07
-2.0000e-01   -3.6162e-09   5.5307e+07
-2.5000e-01   -5.5563e-09   4.4994e+07
-3.0000e-01   -7.8333e-09   3.8298e+07
-3.5000e-01   -1.0437e-08   3.3536e+07
-4.0000e-01   -1.3227e-08   3.0242e+07
-4.5000e-01   -1.5887e-08   2.8325e+07
-5.0000e-01   -1.9065e-08   2.6226e+07
-5.5000e-01   -2.3518e-08   2.3386e+07
-6.0000e-01   -2.8782e-08   2.0846e+07
-6.5000e-01   -2.8723e-08   2.2630e+07
-7.0000e-01   -3.4520e-08   2.0278e+07
-7.5000e-01   -2.8396e-08   2.6413e+07
-8.0000e-01   -4.8034e-08   1.6655e+07
-8.5000e-01   -3.7699e-08   2.2547e+07
-9.0000e-01   -5.7232e-08   1.5725e+07
-9.5000e-01   -5.5893e-08   1.6997e+07
-1.0000e+00   -6.5590e-08   1.5246e+07
-1.0500e+00   -8.0448e-08   1.3052e+07
-1.1000e+00   -9.3819e-08   1.1725e+07
-1.1500e+00   -1.1756e-07   9.7822e+06
-1.2000e+00   -1.3022e-07   9.2152e+06
-1.2500e+00   -1.5192e-07   8.2280e+06
-1.3000e+00   -1.5428e-07   8.4262e+06
-1.3500e+00   -7.9714e-04   1.6936e+03
-1.4000e+00   -8.5458e-04   1.6382e+03
-1.4500e+00   -9.0202e-04   1.6075e+03
-1.5000e+00   -9.4996e-04   1.5790e+03
-1.5500e+00   -1.0000e-03   1.5500e+03
-1.6000e+00   -1.0000e-03   1.6000e+03
-1.6500e+00   -1.0000e-03   1.6499e+03
-1.7000e+00   -1.0000e-03   1.7000e+03
-1.7500e+00   -9.9998e-04   1.7500e+03
-1.8000e+00   -1.0000e-03   1.7999e+03
-1.8500e+00   -1.0000e-03   1.8499e+03
-1.9000e+00   -9.9998e-04   1.9000e+03
-1.9500e+00   -1.0000e-03   1.9500e+03
-2.0000e+00   -1.0001e-03   1.9999e+03
-2.0500e+00   -1.0000e-03   2.0500e+03
-2.1000e+00   -1.0000e-03   2.1000e+03
-2.1500e+00   -1.0000e-03   2.1500e+03
-2.2000e+00   -9.9998e-04   2.2000e+03
-2.2500e+00   -9.9998e-04   2.2500e+03
-2.3000e+00   -1.0000e-03   2.3000e+03
-2.3500e+00   -1.0000e-03   2.3500e+03
-2.4000e+00   -9.9998e-04   2.4000e+03
-2.4500e+00   -9.9996e-04   2.4501e+03
-2.5000e+00   -1.0000e-03   2.4999e+03
-2.5000e+00   -1.0000e-03   2.5000e+03
-2.4500e+00   -9.9998e-04   2.4500e+03
-2.4000e+00   -1.0000e-03   2.4000e+03
-2.3500e+00   -1.0000e-03   2.3500e+03
-2.3000e+00   -9.9998e-04   2.3000e+03
-2.2500e+00   -1.0000e-03   2.2499e+03
-2.2000e+00   -1.0000e-03   2.2000e+03
-2.1500e+00   -1.0000e-03   2.1500e+03
-2.1000e+00   -9.9998e-04   2.1000e+03
-2.0500e+00   -1.0000e-03   2.0500e+03
-2.0000e+00   -9.9998e-04   2.0000e+03
-1.9500e+00   -9.9998e-04   1.9500e+03
-1.9000e+00   -1.0000e-03   1.8999e+03
-1.8500e+00   -1.0000e-03   1.8500e+03
-1.8000e+00   -1.0000e-03   1.8000e+03
-1.7500e+00   -1.0000e-03   1.7500e+03
-1.7000e+00   -9.9998e-04   1.7000e+03
-1.6500e+00   -9.9998e-04   1.6500e+03
-1.6000e+00   -1.0000e-03   1.6000e+03
-1.5500e+00   -1.0000e-03   1.5500e+03
-1.5000e+00   -1.0000e-03   1.5000e+03
-1.4500e+00   -9.7608e-04   1.4855e+03
-1.4000e+00   -9.4324e-04   1.4842e+03
-1.3500e+00   -9.0740e-04   1.4878e+03
-1.3000e+00   -8.7334e-04   1.4885e+03
-1.2500e+00   -8.3940e-04   1.4892e+03
-1.2000e+00   -8.0394e-04   1.4926e+03
-1.1500e+00   -7.6806e-04   1.4973e+03
-1.1000e+00   -7.3366e-04   1.4993e+03
-1.0500e+00   -6.9808e-04   1.5041e+03
-1.0000e+00   -6.6254e-04   1.5093e+03
-9.5000e-01   -6.2752e-04   1.5139e+03
-9.0000e-01   -5.9244e-04   1.5191e+03
-8.5000e-01   -5.5726e-04   1.5253e+03
-8.0000e-01   -5.2252e-04   1.5310e+03
-7.5000e-01   -4.8794e-04   1.5371e+03
-7.0000e-01   -4.5328e-04   1.5443e+03
-6.5000e-01   -4.1912e-04   1.5509e+03
-6.0000e-01   -3.8502e-04   1.5584e+03
-5.5000e-01   -3.5120e-04   1.5661e+03
-5.0000e-01   -3.1788e-04   1.5729e+03
-4.5000e-01   -2.8470e-04   1.5806e+03
-4.0000e-01   -2.5160e-04   1.5898e+03
-3.5000e-01   -2.1930e-04   1.5960e+03
-3.0000e-01   -1.8702e-04   1.6041e+03
-2.5000e-01   -1.5526e-04   1.6102e+03
-2.0000e-01   -1.2360e-04   1.6181e+03
-1.5000e-01   -9.2634e-05   1.6193e+03
-1.0000e-01   -6.1586e-05   1.6237e+03
-5.0000e-02   -3.0678e-05   1.6298e+03
0.0000e+00   4.5725e-08   0.0000e+00
0.0000e+00   2.8819e-08   0.0000e+00
5.0000e-02   3.0790e-05   1.6239e+03
1.0000e-01   6.1536e-05   1.6251e+03
1.5000e-01   9.2442e-05   1.6226e+03
2.0000e-01   1.2362e-04   1.6179e+03
2.5000e-01   1.5486e-04   1.6144e+03
3.0000e-01   1.8644e-04   1.6091e+03
3.5000e-01   2.1822e-04   1.6039e+03
4.0000e-01   2.5018e-04   1.5988e+03
4.5000e-01   2.8242e-04   1.5934e+03
5.0000e-01   3.1472e-04   1.5887e+03
5.5000e-01   3.4758e-04   1.5824e+03
6.0000e-01   3.8048e-04   1.5770e+03
6.5000e-01   4.1346e-04   1.5721e+03
7.0000e-01   4.4694e-04   1.5662e+03
7.5000e-01   4.8008e-04   1.5622e+03
8.0000e-01   5.1358e-04   1.5577e+03
8.5000e-01   5.4726e-04   1.5532e+03
9.0000e-01   5.8064e-04   1.5500e+03
9.5000e-01   6.1352e-04   1.5484e+03
1.0000e+00   6.4734e-04   1.5448e+03
1.0500e+00   6.7942e-04   1.5454e+03
1.1000e+00   7.1168e-04   1.5456e+03
1.1500e+00   7.4230e-04   1.5492e+03
1.2000e+00   7.6994e-04   1.5586e+03
1.2500e+00   7.9224e-04   1.5778e+03
1.3000e+00   6.3100e-04   2.0602e+03
1.3500e+00   4.2058e-04   3.2099e+03
1.4000e+00   1.6430e-04   8.5210e+03
1.4500e+00   1.4232e-04   1.0188e+04
1.5000e+00   1.2866e-04   1.1659e+04
1.5500e+00   6.2778e-05   2.4690e+04
1.6000e+00   5.7810e-05   2.7677e+04
1.6500e+00   6.2516e-05   2.6393e+04
1.7000e+00   4.1208e-05   4.1254e+04
1.7500e+00   4.9380e-05   3.5439e+04
1.8000e+00   4.3154e-05   4.1711e+04
1.8500e+00   3.8766e-05   4.7722e+04
1.9000e+00   3.4502e-05   5.5069e+04
1.9500e+00   1.8790e-05   1.0378e+05
2.0000e+00   2.5042e-05   7.9866e+04
2.0500e+00   4.2267e-06   4.8501e+05
2.1000e+00   4.6005e-06   4.5647e+05
2.1500e+00   6.5758e-06   3.2696e+05
2.2000e+00   7.2234e-06   3.0457e+05
2.2500e+00   8.3077e-06   2.7083e+05
2.3000e+00   7.6377e-06   3.0114e+05
2.3500e+00   2.2637e-06   1.0381e+06
2.4000e+00   2.0250e-06   1.1852e+06
2.4500e+00   1.8758e-06   1.3061e+06
2.5000e+00   1.8025e-06   1.3870e+06
2.5500e+00   2.3914e-06   1.0663e+06
2.6000e+00   2.5543e-06   1.0179e+06
2.6500e+00   1.6280e-06   1.6278e+06
2.7000e+00   2.6343e-06   1.0249e+06
2.7500e+00   1.4600e-06   1.8836e+06
2.8000e+00   1.3789e-06   2.0306e+06
2.8500e+00   1.5109e-06   1.8863e+06
2.9000e+00   1.5199e-06   1.9080e+06
2.9500e+00   1.7387e-06   1.6967e+06
3.0000e+00   2.1990e-06   1.3643e+06
3.0000e+00   4.0888e-06   7.3371e+05
2.9500e+00   3.4180e-06   8.6308e+05
2.9000e+00   3.0226e-06   9.5944e+05
2.8500e+00   2.6175e-06   1.0888e+06
2.8000e+00   2.3510e-06   1.1910e+06
2.7500e+00   2.0336e-06   1.3523e+06
2.7000e+00   2.0406e-06   1.3231e+06
2.6500e+00   2.3728e-06   1.1168e+06
2.6000e+00   2.2183e-06   1.1721e+06
2.5500e+00   1.9980e-06   1.2763e+06
2.5000e+00   1.8516e-06   1.3502e+06
2.4500e+00   1.6800e-06   1.4583e+06
2.4000e+00   1.5699e-06   1.5288e+06
2.3500e+00   1.4944e-06   1.5725e+06
2.3000e+00   1.4289e-06   1.6096e+06
2.2500e+00   1.3277e-06   1.6947e+06
2.2000e+00   1.2396e-06   1.7748e+06
2.1500e+00   1.1145e-06   1.9291e+06
2.1000e+00   1.0093e-06   2.0806e+06
2.0500e+00   8.9290e-07   2.2959e+06
2.0000e+00   8.6536e-07   2.3112e+06
1.9500e+00   7.8038e-07   2.4988e+06
1.9000e+00   7.5936e-07   2.5021e+06
1.8500e+00   6.9194e-07   2.6736e+06
1.8000e+00   6.1368e-07   2.9331e+06
1.7500e+00   5.8090e-07   3.0126e+06
1.7000e+00   5.4120e-07   3.1412e+06
1.6500e+00   5.1188e-07   3.2234e+06
1.6000e+00   4.7324e-07   3.3809e+06
1.5500e+00   4.4736e-07   3.4648e+06
1.5000e+00   4.5610e-07   3.2888e+06
1.4500e+00   3.6146e-07   4.0115e+06
1.4000e+00   3.0262e-07   4.6263e+06
1.3500e+00   3.1158e-07   4.3328e+06
1.3000e+00   2.8126e-07   4.6221e+06
1.2500e+00   2.4410e-07   5.1209e+06
1.2000e+00   2.0550e-07   5.8394e+06
1.1500e+00   1.9424e-07   5.9205e+06
1.1000e+00   2.0226e-07   5.4385e+06
1.0500e+00   2.1164e-07   4.9613e+06
1.0000e+00   1.8084e-07   5.5298e+06
9.5000e-01   1.4292e-07   6.6471e+06
9.0000e-01   1.3178e-07   6.8296e+06
8.5000e-01   1.2788e-07   6.6469e+06
8.0000e-01   1.0948e-07   7.3073e+06
7.5000e-01   9.5720e-08   7.8354e+06
7.0000e-01   7.6889e-08   9.1040e+06
6.5000e-01   6.2707e-08   1.0366e+07
6.0000e-01   4.8649e-08   1.2333e+07
5.5000e-01   3.6077e-08   1.5245e+07
5.0000e-01   3.2669e-08   1.5305e+07
4.5000e-01   2.4769e-08   1.8168e+07
4.0000e-01   1.5963e-08   2.5057e+07
3.5000e-01   1.3091e-08   2.6736e+07
3.0000e-01   8.6908e-09   3.4519e+07
2.5000e-01   4.7089e-09   5.3091e+07
2.0000e-01   3.8605e-09   5.1807e+07
1.5000e-01   2.4047e-09   6.2378e+07
1.0000e-01   1.0139e-09   9.8629e+07
5.0000e-02   3.8337e-10   1.3042e+08
0.0000e+00   -3.1100e-12   -0.0000e+00
