  Measurement Number     Measurement type
                 103                DC IV

      Measurement ID             SeriesID
       739707.678516                   98

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -3.0700e-12   -0.0000e+00
5.0000e-02   4.2800e-12   1.1682e+10
1.0000e-01   1.0080e-11   9.9206e+09
1.5000e-01   8.9200e-12   1.6816e+10
2.0000e-01   1.1790e-11   1.6964e+10
2.5000e-01   -1.3300e-12   -1.8797e+11
3.0000e-01   -7.7900e-12   -3.8511e+10
3.5000e-01   7.1000e-13   4.9296e+11
4.0000e-01   1.0090e-11   3.9643e+10
4.5000e-01   1.3820e-11   3.2562e+10
5.0000e-01   -9.0000e-14   -5.5556e+12
5.5000e-01   -1.2900e-12   -4.2636e+11
6.0000e-01   5.9100e-12   1.0152e+11
6.5000e-01   1.1640e-11   5.5842e+10
7.0000e-01   1.4750e-11   4.7458e+10
7.5000e-01   1.3900e-12   5.3957e+11
8.0000e-01   -2.8400e-12   -2.8169e+11
8.5000e-01   4.4100e-12   1.9274e+11
9.0000e-01   1.4150e-11   6.3604e+10
9.5000e-01   1.5210e-11   6.2459e+10
1.0000e+00   7.9200e-12   1.2626e+11
1.0500e+00   5.5500e-12   1.8919e+11
1.1000e+00   1.3416e-10   8.1992e+09
1.1500e+00   1.5988e-09   7.1929e+08
1.2000e+00   1.0000e-06   1.2000e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.3000e+00   9.9998e-07   1.3000e+06
1.3500e+00   1.0001e-06   1.3498e+06
1.4000e+00   1.0000e-06   1.3999e+06
1.4500e+00   1.0000e-06   1.4500e+06
1.5000e+00   1.0001e-06   1.4999e+06
1.5500e+00   1.0001e-06   1.5499e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.6500e+00   1.0000e-06   1.6499e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.7500e+00   1.0000e-06   1.7500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.9500e+00   1.0000e-06   1.9500e+06
2.0000e+00   1.0000e-06   2.0000e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9499e+06
1.9000e+00   1.0000e-06   1.9000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0001e-06   1.7999e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.7000e+00   1.0000e-06   1.6999e+06
1.6500e+00   1.0000e-06   1.6500e+06
