  Measurement Number     Measurement type
                  87                DC IV

      Measurement ID             SeriesID
       739707.677298                   98

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -7.1600e-12   -0.0000e+00
5.0000e-02   4.1200e-12   1.2136e+10
1.0000e-01   1.0690e-11   9.3545e+09
1.5000e-01   6.6300e-12   2.2624e+10
2.0000e-01   -2.6500e-12   -7.5472e+10
2.5000e-01   -5.4600e-12   -4.5788e+10
3.0000e-01   -1.5700e-12   -1.9108e+11
3.5000e-01   6.3700e-12   5.4945e+10
4.0000e-01   1.0200e-11   3.9216e+10
4.5000e-01   1.1300e-12   3.9823e+11
5.0000e-01   -6.9900e-12   -7.1531e+10
5.5000e-01   0.0000e+00   Inf
6.0000e-01   1.6910e-11   3.5482e+10
6.5000e-01   1.1910e-11   5.4576e+10
7.0000e-01   6.9200e-12   1.0116e+11
7.5000e-01   1.6500e-12   4.5455e+11
8.0000e-01   2.1100e-12   3.7915e+11
8.5000e-01   1.7600e-11   4.8295e+10
9.0000e-01   1.5700e-11   5.7325e+10
9.5000e-01   6.5035e-09   1.4608e+08
1.0000e+00   3.1384e-09   3.1863e+08
1.0500e+00   1.7009e-08   6.1731e+07
1.1000e+00   1.3765e-08   7.9912e+07
1.1500e+00   1.9590e-08   5.8703e+07
1.2000e+00   2.8593e-08   4.1968e+07
1.2500e+00   2.7209e-08   4.5941e+07
1.3000e+00   2.6750e-08   4.8598e+07
1.3500e+00   3.1171e-08   4.3310e+07
1.4000e+00   3.3436e-08   4.1871e+07
1.4500e+00   3.9082e-08   3.7102e+07
1.5000e+00   6.8430e-08   2.1920e+07
1.5500e+00   9.9998e-07   1.5500e+06
1.6000e+00   1.0001e-06   1.5999e+06
1.6500e+00   1.0000e-06   1.6499e+06
1.7000e+00   1.0002e-06   1.6996e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.9000e+00   1.0001e-06   1.8999e+06
1.9500e+00   1.0001e-06   1.9499e+06
2.0000e+00   1.0000e-06   1.9999e+06
2.0000e+00   1.0000e-06   1.9999e+06
1.9500e+00   1.0000e-06   1.9499e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0001e-06   1.8499e+06
1.8000e+00   1.0000e-06   1.7999e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.7000e+00   9.9998e-07   1.7000e+06
1.6500e+00   1.0001e-06   1.6499e+06
