  Measurement Number     Measurement type
                   3                DC IV

      Measurement ID             SeriesID
       739707.642243                    0

         MeasureMode                Bias1                Bias2
                   2                    3                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-06                1e-06

  RealMeasuredPoints
                 164

        Bias        Current     Resistance
0.0000e+00   -2.6200e-12   -0.0000e+00
5.0000e-02   -6.5900e-12   -7.5873e+09
1.0000e-01   1.1390e-11   8.7796e+09
1.5000e-01   1.5040e-11   9.9734e+09
2.0000e-01   2.0880e-11   9.5785e+09
2.5000e-01   1.7280e-11   1.4468e+10
3.0000e-01   2.2140e-11   1.3550e+10
3.5000e-01   3.8220e-11   9.1575e+09
4.0000e-01   6.4500e-11   6.2016e+09
4.5000e-01   1.0896e-10   4.1300e+09
5.0000e-01   1.3210e-10   3.7850e+09
5.5000e-01   1.5545e-10   3.5381e+09
6.0000e-01   1.8812e-10   3.1895e+09
6.5000e-01   2.5060e-10   2.5938e+09
7.0000e-01   3.0059e-10   2.3288e+09
7.5000e-01   3.2587e-10   2.3015e+09
8.0000e-01   3.3559e-10   2.3839e+09
8.5000e-01   4.2471e-10   2.0014e+09
9.0000e-01   5.6284e-10   1.5990e+09
9.5000e-01   6.6617e-10   1.4261e+09
1.0000e+00   8.4008e-10   1.1904e+09
1.0500e+00   1.0278e-09   1.0216e+09
1.1000e+00   1.1567e-09   9.5098e+08
1.1500e+00   1.3942e-09   8.2485e+08
1.2000e+00   1.4998e-09   8.0011e+08
1.2500e+00   1.6454e-09   7.5969e+08
1.3000e+00   1.8521e-09   7.0191e+08
1.3500e+00   2.1082e-09   6.4036e+08
1.4000e+00   2.3298e-09   6.0091e+08
1.4500e+00   2.5206e-09   5.7526e+08
1.5000e+00   2.7735e-09   5.4083e+08
1.5500e+00   3.1804e-09   4.8736e+08
1.6000e+00   3.5221e-09   4.5427e+08
1.6500e+00   3.7755e-09   4.3703e+08
1.7000e+00   4.2129e-09   4.0352e+08
1.7500e+00   4.6143e-09   3.7926e+08
1.8000e+00   5.0456e-09   3.5675e+08
1.8500e+00   5.5726e-09   3.3198e+08
1.9000e+00   6.0223e-09   3.1549e+08
1.9500e+00   6.7028e-09   2.9092e+08
2.0000e+00   7.4631e-09   2.6799e+08
2.0500e+00   8.1758e-09   2.5074e+08
2.1000e+00   8.7302e-09   2.4054e+08
2.1500e+00   9.7922e-09   2.1956e+08
2.2000e+00   1.0534e-08   2.0884e+08
2.2500e+00   1.1400e-08   1.9736e+08
2.3000e+00   1.1722e-08   1.9622e+08
2.3500e+00   1.2170e-08   1.9310e+08
2.4000e+00   1.3309e-08   1.8033e+08
2.4500e+00   1.4541e-08   1.6849e+08
2.5000e+00   1.6986e-08   1.4718e+08
2.5500e+00   1.7309e-08   1.4732e+08
2.6000e+00   1.5971e-08   1.6280e+08
2.6500e+00   1.7895e-08   1.4808e+08
2.7000e+00   1.9536e-08   1.3821e+08
2.7500e+00   1.9060e-08   1.4428e+08
2.8000e+00   2.2384e-08   1.2509e+08
2.8500e+00   2.0004e-08   1.4247e+08
2.9000e+00   2.1078e-08   1.3759e+08
2.9500e+00   2.5443e-08   1.1595e+08
3.0000e+00   3.0327e-08   9.8921e+07
3.0000e+00   3.1947e-08   9.3906e+07
2.9500e+00   4.6249e-08   6.3786e+07
2.9000e+00   6.9033e-08   4.2009e+07
2.8500e+00   6.2516e-08   4.5589e+07
2.8000e+00   2.4656e-07   1.1356e+07
2.7500e+00   1.3150e-07   2.0913e+07
2.7000e+00   1.3674e-07   1.9746e+07
2.6500e+00   1.0000e-06   2.6499e+06
2.6000e+00   1.0000e-06   2.6000e+06
2.5500e+00   1.0000e-06   2.5499e+06
2.5000e+00   1.0000e-06   2.5000e+06
2.4500e+00   1.0000e-06   2.4500e+06
2.4000e+00   1.0000e-06   2.3999e+06
2.3500e+00   1.0000e-06   2.3499e+06
2.3000e+00   1.0000e-06   2.2999e+06
2.2500e+00   1.0000e-06   2.2499e+06
2.2000e+00   1.0000e-06   2.1999e+06
2.1500e+00   1.0000e-06   2.1500e+06
2.1000e+00   1.0000e-06   2.0999e+06
2.0500e+00   1.0000e-06   2.0500e+06
2.0000e+00   1.0000e-06   2.0000e+06
1.9500e+00   1.0000e-06   1.9499e+06
1.9000e+00   1.0000e-06   1.8999e+06
1.8500e+00   1.0000e-06   1.8500e+06
1.8000e+00   1.0000e-06   1.8000e+06
1.7500e+00   1.0000e-06   1.7499e+06
1.7000e+00   1.0000e-06   1.7000e+06
1.6500e+00   1.0000e-06   1.6499e+06
1.6000e+00   1.0000e-06   1.6000e+06
1.5500e+00   1.0000e-06   1.5500e+06
1.5000e+00   1.0000e-06   1.5000e+06
1.4500e+00   1.0000e-06   1.4499e+06
1.4000e+00   1.0000e-06   1.4000e+06
1.3500e+00   1.0000e-06   1.3500e+06
1.3000e+00   1.0000e-06   1.2999e+06
1.2500e+00   1.0000e-06   1.2500e+06
1.2000e+00   1.0000e-06   1.2000e+06
1.1500e+00   1.0000e-06   1.1500e+06
1.1000e+00   1.0000e-06   1.1000e+06
1.0500e+00   1.0000e-06   1.0500e+06
1.0000e+00   1.0000e-06   9.9996e+05
9.5000e-01   1.0000e-06   9.4998e+05
9.0000e-01   1.0000e-06   8.9996e+05
8.5000e-01   1.0000e-06   8.4998e+05
8.0000e-01   1.0000e-06   7.9997e+05
7.5000e-01   1.0000e-06   7.4997e+05
7.0000e-01   1.0000e-06   6.9997e+05
6.5000e-01   1.0000e-06   6.4999e+05
6.0000e-01   1.0000e-06   5.9998e+05
5.5000e-01   1.0000e-06   5.4999e+05
5.0000e-01   1.0000e-06   5.0000e+05
4.5000e-01   1.0000e-06   4.4998e+05
4.0000e-01   1.0001e-06   3.9998e+05
3.5000e-01   1.0000e-06   3.4999e+05
3.0000e-01   1.0000e-06   3.0000e+05
2.5000e-01   1.0000e-06   2.5000e+05
2.0000e-01   1.0000e-06   2.0000e+05
1.5000e-01   1.0000e-06   1.4999e+05
1.0000e-01   1.0000e-06   9.9998e+04
5.0000e-02   1.0000e-06   5.0000e+04
0.0000e+00   6.4540e-09   0.0000e+00
0.0000e+00   2.2510e-10   0.0000e+00
-5.0000e-02   -1.0000e-06   5.0000e+04
-1.0000e-01   -1.0000e-06   9.9998e+04
-1.5000e-01   -1.0000e-06   1.5000e+05
-2.0000e-01   -1.0000e-06   2.0000e+05
-2.5000e-01   -1.0000e-06   2.5000e+05
-3.0000e-01   -1.0000e-06   2.9999e+05
-3.5000e-01   -1.0000e-06   3.4999e+05
-4.0000e-01   -1.0000e-06   4.0000e+05
-4.5000e-01   -1.0000e-06   4.4999e+05
-5.0000e-01   -1.0000e-06   5.0000e+05
-5.5000e-01   -1.0000e-06   5.4999e+05
-6.0000e-01   -1.0000e-06   6.0000e+05
-6.5000e-01   -1.0000e-06   6.5000e+05
-7.0000e-01   -1.0000e-06   7.0000e+05
-7.5000e-01   -1.0000e-06   7.4999e+05
-8.0000e-01   -1.0000e-06   8.0000e+05
-8.5000e-01   -1.0000e-06   8.4998e+05
-9.0000e-01   -1.0000e-06   8.9998e+05
-9.5000e-01   -1.0000e-06   9.4998e+05
-1.0000e+00   -1.0000e-06   9.9998e+05
-1.0000e+00   -1.0000e-06   9.9998e+05
-9.5000e-01   -9.9998e-07   9.5002e+05
-9.0000e-01   -1.0000e-06   9.0000e+05
-8.5000e-01   -1.0000e-06   8.5000e+05
-8.0000e-01   -1.0000e-06   8.0000e+05
-7.5000e-01   -1.0000e-06   7.5000e+05
-7.0000e-01   -1.0000e-06   7.0000e+05
-6.5000e-01   -1.0000e-06   6.4999e+05
-6.0000e-01   -9.9998e-07   6.0001e+05
-5.5000e-01   -1.0000e-06   5.5000e+05
-5.0000e-01   -1.0000e-06   4.9999e+05
-4.5000e-01   -1.0000e-06   4.4999e+05
-4.0000e-01   -9.9998e-07   4.0001e+05
-3.5000e-01   -1.0000e-06   3.4999e+05
-3.0000e-01   -1.0000e-06   3.0000e+05
-2.5000e-01   -1.0000e-06   2.5000e+05
-2.0000e-01   -1.0000e-06   2.0000e+05
-1.5000e-01   -1.0000e-06   1.5000e+05
-1.0000e-01   -1.0000e-06   9.9998e+04
-5.0000e-02   -1.0000e-06   5.0000e+04
0.0000e+00   6.7710e-10   0.0000e+00
