  Measurement Number     Measurement type
                   1                DC IV

      Measurement ID             SeriesID
       739708.704291                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   8.9700e-12   0.0000e+00
5.0000e-02   1.6700e-12   2.9940e+10
1.0000e-01   -2.9400e-12   -3.4014e+10
1.5000e-01   -9.3900e-12   -1.5974e+10
2.0000e-01   -1.0400e-12   -1.9231e+11
2.5000e-01   1.1010e-11   2.2707e+10
3.0000e-01   1.6900e-12   1.7751e+11
3.5000e-01   -3.8100e-12   -9.1864e+10
4.0000e-01   -6.0300e-12   -6.6335e+10
4.5000e-01   1.5467e-08   2.9094e+07
5.0000e-01   6.8219e-08   7.3293e+06
5.5000e-01   1.3036e-07   4.2191e+06
6.0000e-01   6.5172e-06   9.2064e+04
6.5000e-01   9.9102e-06   6.5589e+04
7.0000e-01   1.0000e-05   6.9999e+04
7.5000e-01   9.9989e-06   7.5008e+04
8.0000e-01   9.9985e-06   8.0012e+04
8.5000e-01   1.0001e-05   8.4992e+04
9.0000e-01   9.9997e-06   9.0003e+04
9.5000e-01   9.9988e-06   9.5011e+04
1.0000e+00   9.9987e-06   1.0001e+05
1.0000e+00   9.9972e-06   1.0003e+05
9.5000e-01   9.9998e-06   9.5002e+04
9.0000e-01   1.0000e-05   8.9999e+04
8.5000e-01   9.9980e-06   8.5017e+04
8.0000e-01   9.9996e-06   8.0003e+04
7.5000e-01   9.9960e-06   7.5030e+04
7.0000e-01   9.9991e-06   7.0006e+04
6.5000e-01   9.9993e-06   6.5005e+04
6.0000e-01   9.9996e-06   6.0002e+04
5.5000e-01   1.0000e-05   5.4999e+04
5.0000e-01   9.5699e-06   5.2247e+04
4.5000e-01   9.9996e-06   4.5002e+04
4.0000e-01   8.8817e-06   4.5036e+04
3.5000e-01   6.7297e-06   5.2008e+04
3.0000e-01   5.1730e-06   5.7993e+04
2.5000e-01   4.5577e-06   5.4852e+04
2.0000e-01   2.7551e-06   7.2593e+04
1.5000e-01   5.3062e-07   2.8269e+05
1.0000e-01   3.2928e-07   3.0369e+05
5.0000e-02   6.7600e-09   7.3964e+06
0.0000e+00   2.3600e-12   0.0000e+00
0.0000e+00   -7.2200e-12   -0.0000e+00
-5.0000e-02   -3.9600e-12   1.2626e+10
-1.0000e-01   6.5700e-12   -1.5221e+10
-1.5000e-01   -1.2000e-12   1.2500e+11
-2.0000e-01   -7.3600e-12   2.7174e+10
-2.5000e-01   -2.3000e-12   1.0870e+11
-3.0000e-01   4.0300e-12   -7.4442e+10
-3.5000e-01   7.2000e-13   -4.8611e+11
-4.0000e-01   -1.1400e-11   3.5088e+10
-4.5000e-01   -7.6800e-12   5.8594e+10
-5.0000e-01   -2.4100e-12   2.0747e+11
-5.5000e-01   -6.6000e-13   8.3333e+11
-6.0000e-01   -8.6200e-12   6.9606e+10
-6.5000e-01   -8.1900e-12   7.9365e+10
-7.0000e-01   -6.1000e-12   1.1475e+11
-7.5000e-01   -1.3800e-12   5.4348e+11
-8.0000e-01   -1.1920e-11   6.7114e+10
-8.5000e-01   -2.0250e-11   4.1975e+10
-9.0000e-01   -1.6040e-11   5.6110e+10
-9.5000e-01   -6.4100e-12   1.4821e+11
-1.0000e+00   -1.5550e-11   6.4309e+10
-1.0000e+00   -1.1040e-11   9.0580e+10
-9.5000e-01   -3.8900e-12   2.4422e+11
-9.0000e-01   -3.7000e-12   2.4324e+11
-8.5000e-01   -1.5320e-11   5.5483e+10
-8.0000e-01   -6.6700e-12   1.1994e+11
-7.5000e-01   2.1000e-12   -3.5714e+11
-7.0000e-01   3.6000e-13   -1.9444e+12
-6.5000e-01   -4.3200e-12   1.5046e+11
-6.0000e-01   -2.2700e-12   2.6432e+11
-5.5000e-01   9.6600e-12   -5.6936e+10
-5.0000e-01   1.1800e-12   -4.2373e+11
-4.5000e-01   -2.2400e-12   2.0089e+11
-4.0000e-01   -1.4000e-12   2.8571e+11
-3.5000e-01   -3.0500e-12   1.1475e+11
-3.0000e-01   8.4300e-12   -3.5587e+10
-2.5000e-01   -3.5000e-12   7.1429e+10
-2.0000e-01   -1.2200e-12   1.6393e+11
-1.5000e-01   5.6100e-12   -2.6738e+10
-1.0000e-01   1.5770e-11   -6.3412e+09
-5.0000e-02   8.2400e-12   -6.0680e+09
0.0000e+00   -5.9700e-12   -0.0000e+00
