  Measurement Number     Measurement type
                   8               OnLine

      Measurement ID                     
       739708.736429                     

          Force Mode                Value         MeasureRange
             Current                    0         1.000000e-05

    Supply Complince     Integrating time     Refresh interval
        1.000000e-05                    0                    0

        Time      Voltage      Current  Temperature
1.2426e+00   1.9500e-02   0.0000e+00             NA
1.4359e+00   2.0700e-02   0.0000e+00             NA
1.5732e+00   2.1500e-02   -5.0000e-14             NA
1.7299e+00   2.2300e-02   0.0000e+00             NA
1.8860e+00   2.4200e-02   0.0000e+00             NA
2.0275e+00   2.4500e-02   0.0000e+00             NA
2.1942e+00   2.5300e-02   0.0000e+00             NA
2.3426e+00   2.6000e-02   0.0000e+00             NA
2.4897e+00   2.6900e-02   0.0000e+00             NA
2.6548e+00   2.7900e-02   0.0000e+00             NA
2.8005e+00   2.8700e-02   0.0000e+00             NA
2.9470e+00   2.9200e-02   0.0000e+00             NA
3.1001e+00   3.0000e-02   0.0000e+00             NA
3.2394e+00   3.0800e-02   0.0000e+00             NA
3.4013e+00   3.1600e-02   0.0000e+00             NA
3.6754e+00   3.3000e-02   0.0000e+00             NA
3.7106e+00   3.3500e-02   0.0000e+00             NA
3.8788e+00   3.5200e-02   0.0000e+00             NA
4.0379e+00   3.5500e-02   -5.0000e-14             NA
4.1909e+00   3.6100e-02   0.0000e+00             NA
4.3456e+00   3.6700e-02   0.0000e+00             NA
4.5134e+00   3.7700e-02   0.0000e+00             NA
Finised 

