  Measurement Number     Measurement type
                  23                DC IV

      Measurement ID             SeriesID
       739708.703668                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -3.2900e-12   -0.0000e+00
5.0000e-02   -5.9200e-12   -8.4459e+09
1.0000e-01   -2.0900e-12   -4.7847e+10
1.5000e-01   1.2180e-11   1.2315e+10
2.0000e-01   4.1100e-12   4.8662e+10
2.5000e-01   -2.8000e-13   -8.9286e+11
3.0000e-01   -9.1100e-12   -3.2931e+10
3.5000e-01   -8.4000e-13   -4.1667e+11
4.0000e-01   9.3300e-12   4.2872e+10
4.5000e-01   8.6950e-10   5.1754e+08
5.0000e-01   1.4052e-09   3.5582e+08
5.5000e-01   1.9362e-09   2.8406e+08
6.0000e-01   3.6357e-09   1.6503e+08
6.5000e-01   4.4048e-09   1.4757e+08
7.0000e-01   5.1710e-09   1.3537e+08
7.5000e-01   4.2656e-08   1.7583e+07
8.0000e-01   5.3122e-08   1.5060e+07
8.5000e-01   4.1269e-08   2.0597e+07
9.0000e-01   6.5139e-08   1.3817e+07
9.5000e-01   1.2746e-07   7.4533e+06
1.0000e+00   1.5520e-07   6.4433e+06
1.0500e+00   2.4312e-07   4.3189e+06
1.1000e+00   4.8828e-07   2.2528e+06
1.1500e+00   9.9996e-06   1.1500e+05
1.2000e+00   9.9983e-06   1.2002e+05
1.2500e+00   9.9989e-06   1.2501e+05
1.3000e+00   9.9990e-06   1.3001e+05
1.3500e+00   9.9988e-06   1.3502e+05
1.4000e+00   1.0002e-05   1.3997e+05
1.4500e+00   9.9997e-06   1.4500e+05
1.5000e+00   9.9998e-06   1.5000e+05
1.5000e+00   9.9984e-06   1.5002e+05
1.4500e+00   9.9989e-06   1.4502e+05
1.4000e+00   9.9991e-06   1.4001e+05
1.3500e+00   1.0000e-05   1.3499e+05
1.3000e+00   9.9986e-06   1.3002e+05
1.2500e+00   9.9983e-06   1.2502e+05
1.2000e+00   9.9998e-06   1.2000e+05
1.1500e+00   1.0001e-05   1.1499e+05
1.1000e+00   9.9993e-06   1.1001e+05
1.0500e+00   9.9988e-06   1.0501e+05
1.0000e+00   9.9985e-06   1.0002e+05
9.5000e-01   9.9997e-06   9.5003e+04
9.0000e-01   9.9998e-06   9.0002e+04
8.5000e-01   9.9996e-06   8.5003e+04
8.0000e-01   9.9980e-06   8.0016e+04
7.5000e-01   1.0001e-05   7.4989e+04
7.0000e-01   1.0000e-05   6.9999e+04
6.5000e-01   9.3801e-06   6.9296e+04
6.0000e-01   3.4595e-06   1.7344e+05
5.5000e-01   4.2139e-06   1.3052e+05
5.0000e-01   2.1734e-06   2.3005e+05
4.5000e-01   1.6165e-06   2.7838e+05
4.0000e-01   1.7920e-06   2.2321e+05
3.5000e-01   1.7115e-06   2.0450e+05
3.0000e-01   1.2860e-06   2.3328e+05
2.5000e-01   9.9198e-07   2.5202e+05
2.0000e-01   6.5934e-07   3.0333e+05
1.5000e-01   3.8596e-07   3.8864e+05
1.0000e-01   2.1570e-07   4.6361e+05
5.0000e-02   1.0570e-07   4.7304e+05
0.0000e+00   -1.2870e-11   -0.0000e+00
0.0000e+00   9.4500e-12   0.0000e+00
-5.0000e-02   -3.0000e-13   1.6667e+11
-1.0000e-01   -1.2810e-11   7.8064e+09
-1.5000e-01   -7.5900e-12   1.9763e+10
-2.0000e-01   9.0000e-13   -2.2222e+11
-2.5000e-01   -1.2800e-12   1.9531e+11
-3.0000e-01   -1.3250e-11   2.2642e+10
-3.5000e-01   -3.5400e-12   9.8870e+10
-4.0000e-01   6.9900e-12   -5.7225e+10
-4.5000e-01   1.1900e-12   -3.7815e+11
-5.0000e-01   -6.0600e-12   8.2508e+10
-5.5000e-01   -1.0980e-11   5.0091e+10
-6.0000e-01   -8.2000e-13   7.3171e+11
-6.5000e-01   1.3300e-12   -4.8872e+11
-7.0000e-01   -9.4400e-12   7.4153e+10
-7.5000e-01   -1.4060e-11   5.3343e+10
-8.0000e-01   -6.6300e-12   1.2066e+11
-8.5000e-01   1.0100e-12   -8.4158e+11
-9.0000e-01   -9.3500e-12   9.6257e+10
-9.5000e-01   -2.1360e-11   4.4476e+10
-1.0000e+00   -1.4250e-11   7.0175e+10
-1.0000e+00   -1.4980e-11   6.6756e+10
-9.5000e-01   -1.3280e-11   7.1536e+10
-9.0000e-01   -1.0840e-11   8.3026e+10
-8.5000e-01   -2.6200e-12   3.2443e+11
-8.0000e-01   5.1200e-12   -1.5625e+11
-7.5000e-01   -3.6900e-12   2.0325e+11
-7.0000e-01   -1.3690e-11   5.1132e+10
-6.5000e-01   -5.2800e-12   1.2311e+11
-6.0000e-01   6.7500e-12   -8.8889e+10
-5.5000e-01   -4.2000e-13   1.3095e+12
-5.0000e-01   -5.6400e-12   8.8652e+10
-4.5000e-01   2.7600e-12   -1.6304e+11
-4.0000e-01   1.3760e-11   -2.9070e+10
-3.5000e-01   4.6500e-12   -7.5269e+10
-3.0000e-01   -6.7000e-12   4.4776e+10
-2.5000e-01   2.1800e-12   -1.1468e+11
-2.0000e-01   8.8800e-12   -2.2523e+10
-1.5000e-01   1.9300e-12   -7.7720e+10
-1.0000e-01   -9.3400e-12   1.0707e+10
-5.0000e-02   -4.8000e-13   1.0417e+11
0.0000e+00   9.9400e-12   0.0000e+00
