  Measurement Number     Measurement type
                  12                DC IV

      Measurement ID             SeriesID
       739708.690730                    0

         MeasureMode                Bias1                Bias2
                   2                    2                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 124

        Bias        Current     Resistance
0.0000e+00   -4.8800e-12   -0.0000e+00
5.0000e-02   1.2000e-12   4.1667e+10
1.0000e-01   1.1560e-11   8.6505e+09
1.5000e-01   3.8500e-12   3.8961e+10
2.0000e-01   -3.7700e-12   -5.3050e+10
2.5000e-01   6.7400e-12   3.7092e+10
3.0000e-01   5.8095e-09   5.1640e+07
3.5000e-01   6.1366e-07   5.7035e+05
4.0000e-01   9.9990e-06   4.0004e+04
4.5000e-01   9.9989e-06   4.5005e+04
5.0000e-01   9.9988e-06   5.0006e+04
5.5000e-01   9.9995e-06   5.5003e+04
6.0000e-01   9.9995e-06   6.0003e+04
6.5000e-01   9.9990e-06   6.5007e+04
7.0000e-01   1.0000e-05   6.9999e+04
7.5000e-01   9.9995e-06   7.5004e+04
8.0000e-01   9.9995e-06   8.0004e+04
8.5000e-01   9.9995e-06   8.5004e+04
9.0000e-01   9.9992e-06   9.0007e+04
9.5000e-01   1.0000e-05   9.5000e+04
1.0000e+00   9.9991e-06   1.0001e+05
1.0500e+00   9.9998e-06   1.0500e+05
1.1000e+00   9.9996e-06   1.1000e+05
1.1500e+00   9.9996e-06   1.1500e+05
1.2000e+00   9.9992e-06   1.2001e+05
1.2500e+00   9.9993e-06   1.2501e+05
1.3000e+00   9.9995e-06   1.3001e+05
1.3500e+00   9.9993e-06   1.3501e+05
1.4000e+00   9.9994e-06   1.4001e+05
1.4500e+00   9.9994e-06   1.4501e+05
1.5000e+00   1.0000e-05   1.5000e+05
1.5500e+00   9.9998e-06   1.5500e+05
1.6000e+00   9.9994e-06   1.6001e+05
1.6500e+00   9.9993e-06   1.6501e+05
1.7000e+00   9.9996e-06   1.7001e+05
1.7500e+00   9.9993e-06   1.7501e+05
1.8000e+00   9.9995e-06   1.8001e+05
1.8500e+00   9.9996e-06   1.8501e+05
1.9000e+00   9.9998e-06   1.9000e+05
1.9500e+00   9.9996e-06   1.9501e+05
2.0000e+00   9.9996e-06   2.0001e+05
2.0000e+00   9.9986e-06   2.0003e+05
1.9500e+00   9.9993e-06   1.9501e+05
1.9000e+00   9.9984e-06   1.9003e+05
1.8500e+00   9.9986e-06   1.8503e+05
1.8000e+00   9.9996e-06   1.8001e+05
1.7500e+00   9.9993e-06   1.7501e+05
1.7000e+00   9.9995e-06   1.7001e+05
1.6500e+00   9.9994e-06   1.6501e+05
