  Measurement Number     Measurement type
                   7                DC IV

      Measurement ID             SeriesID
       739708.672170                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   4.6300e-12   0.0000e+00
5.0000e-02   -5.3300e-12   -9.3809e+09
1.0000e-01   1.8400e-12   5.4348e+10
1.5000e-01   3.5637e-10   4.2091e+08
2.0000e-01   3.5816e-09   5.5841e+07
2.5000e-01   1.4079e-08   1.7757e+07
3.0000e-01   1.9933e-08   1.5051e+07
3.5000e-01   2.2426e-08   1.5607e+07
4.0000e-01   8.7182e-06   4.5881e+04
4.5000e-01   9.9985e-06   4.5007e+04
5.0000e-01   9.9990e-06   5.0005e+04
5.5000e-01   1.0000e-05   5.4998e+04
6.0000e-01   9.9993e-06   6.0004e+04
6.5000e-01   9.9992e-06   6.5005e+04
7.0000e-01   9.9995e-06   7.0004e+04
7.5000e-01   9.9999e-06   7.5001e+04
8.0000e-01   9.9996e-06   8.0003e+04
8.5000e-01   9.9981e-06   8.5016e+04
9.0000e-01   9.9990e-06   9.0009e+04
9.5000e-01   9.9992e-06   9.5008e+04
1.0000e+00   9.9995e-06   1.0001e+05
1.0000e+00   9.9996e-06   1.0000e+05
9.5000e-01   9.9996e-06   9.5004e+04
9.0000e-01   9.9995e-06   9.0005e+04
8.5000e-01   9.9994e-06   8.5005e+04
8.0000e-01   9.9995e-06   8.0004e+04
7.5000e-01   9.9993e-06   7.5005e+04
7.0000e-01   9.9998e-06   7.0001e+04
6.5000e-01   9.9989e-06   6.5007e+04
6.0000e-01   9.9996e-06   6.0002e+04
5.5000e-01   9.9993e-06   5.5004e+04
5.0000e-01   9.9995e-06   5.0003e+04
4.5000e-01   9.9992e-06   4.5004e+04
4.0000e-01   9.9994e-06   4.0002e+04
3.5000e-01   9.9998e-06   3.5001e+04
3.0000e-01   9.0155e-06   3.3276e+04
2.5000e-01   6.9562e-06   3.5939e+04
2.0000e-01   5.5284e-06   3.6177e+04
1.5000e-01   3.4657e-06   4.3281e+04
1.0000e-01   2.3559e-06   4.2447e+04
5.0000e-02   1.3205e-06   3.7864e+04
0.0000e+00   -7.4700e-12   -0.0000e+00
0.0000e+00   -6.2700e-12   -0.0000e+00
-5.0000e-02   6.1000e-13   -8.1967e+10
-1.0000e-01   5.9500e-12   -1.6807e+10
-1.5000e-01   2.3500e-12   -6.3830e+10
-2.0000e-01   -3.3300e-12   6.0060e+10
-2.5000e-01   -1.2760e-11   1.9592e+10
-3.0000e-01   -1.4700e-12   2.0408e+11
-3.5000e-01   4.7900e-12   -7.3069e+10
-4.0000e-01   -4.3700e-12   9.1533e+10
-4.5000e-01   -1.1770e-11   3.8233e+10
-5.0000e-01   -5.2700e-12   9.4877e+10
-5.5000e-01   4.6800e-12   -1.1752e+11
-6.0000e-01   -7.2200e-12   8.3102e+10
-6.5000e-01   -1.3960e-11   4.6562e+10
-7.0000e-01   -5.1900e-12   1.3487e+11
-7.5000e-01   1.5100e-12   -4.9669e+11
-8.0000e-01   -4.9600e-12   1.6129e+11
-8.5000e-01   -1.7140e-11   4.9592e+10
-9.0000e-01   -6.9400e-12   1.2968e+11
-9.5000e-01   -1.6700e-12   5.6886e+11
-1.0000e+00   -8.3000e-12   1.2048e+11
-1.0000e+00   -1.6850e-11   5.9347e+10
-9.5000e-01   -8.4600e-12   1.1229e+11
-9.0000e-01   -4.1000e-13   2.1951e+12
-8.5000e-01   -5.9200e-12   1.4358e+11
-8.0000e-01   -8.7400e-12   9.1533e+10
-7.5000e-01   0.0000e+00   -Inf
-7.0000e-01   1.1370e-11   -6.1566e+10
-6.5000e-01   3.1300e-12   -2.0767e+11
-6.0000e-01   -3.3600e-12   1.7857e+11
-5.5000e-01   -6.3200e-12   8.7025e+10
-5.0000e-01   4.5700e-12   -1.0941e+11
-4.5000e-01   3.3000e-12   -1.3636e+11
-4.0000e-01   -5.5200e-12   7.2464e+10
-3.5000e-01   3.3000e-13   -1.0606e+12
-3.0000e-01   8.0300e-12   -3.7360e+10
-2.5000e-01   6.1200e-12   -4.0850e+10
-2.0000e-01   -6.6000e-13   3.0303e+11
-1.5000e-01   -6.3100e-12   2.3772e+10
-1.0000e-01   5.0600e-12   -1.9763e+10
-5.0000e-02   8.6000e-12   -5.8140e+09
0.0000e+00   -1.8000e-13   -0.0000e+00
