  Measurement Number     Measurement type
                   6                DC IV

      Measurement ID             SeriesID
       739708.649234                    0

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   -5.1000e-13   -0.0000e+00
5.0000e-02   -6.5000e-13   -7.6923e+10
1.0000e-01   3.2000e-13   3.1250e+11
1.5000e-01   -6.1000e-13   -2.4590e+11
2.0000e-01   -1.2800e-12   -1.5625e+11
2.5000e-01   -1.8700e-12   -1.3369e+11
3.0000e-01   -1.0800e-12   -2.7778e+11
3.5000e-01   -5.8000e-13   -6.0345e+11
4.0000e-01   -8.2000e-13   -4.8780e+11
4.5000e-01   5.0000e-14   9.0000e+12
5.0000e-01   -1.3300e-12   -3.7594e+11
5.5000e-01   -7.1000e-13   -7.7465e+11
6.0000e-01   -1.9700e-12   -3.0457e+11
6.5000e-01   1.0500e-12   6.1905e+11
7.0000e-01   -7.9000e-13   -8.8608e+11
7.5000e-01   2.0000e-13   3.7500e+12
8.0000e-01   -1.2900e-12   -6.2016e+11
8.5000e-01   7.0000e-14   1.2143e+13
9.0000e-01   -2.0000e-13   -4.5000e+12
9.5000e-01   1.5400e-12   6.1688e+11
1.0000e+00   -1.3500e-12   -7.4074e+11
1.0000e+00   -1.1200e-12   -8.9286e+11
9.5000e-01   -6.0000e-14   -1.5833e+13
9.0000e-01   2.9000e-13   3.1034e+12
8.5000e-01   6.5000e-13   1.3077e+12
8.0000e-01   -9.8000e-13   -8.1633e+11
7.5000e-01   -1.0100e-12   -7.4257e+11
7.0000e-01   -1.8500e-12   -3.7838e+11
6.5000e-01   5.2000e-13   1.2500e+12
6.0000e-01   -4.4000e-13   -1.3636e+12
5.5000e-01   -7.8000e-13   -7.0513e+11
5.0000e-01   -1.4300e-12   -3.4965e+11
4.5000e-01   -9.2000e-13   -4.8913e+11
4.0000e-01   -3.5000e-13   -1.1429e+12
3.5000e-01   -8.0000e-14   -4.3750e+12
3.0000e-01   -9.9000e-13   -3.0303e+11
2.5000e-01   -1.0700e-12   -2.3364e+11
2.0000e-01   -1.5000e-13   -1.3333e+12
1.5000e-01   -1.2200e-12   -1.2295e+11
1.0000e-01   8.4000e-13   1.1905e+11
5.0000e-02   -2.8000e-13   -1.7857e+11
0.0000e+00   1.0900e-12   0.0000e+00
0.0000e+00   -5.2000e-13   -0.0000e+00
-5.0000e-02   -7.9000e-13   6.3291e+10
-1.0000e-01   3.0000e-13   -3.3333e+11
-1.5000e-01   -1.2200e-12   1.2295e+11
-2.0000e-01   -1.8600e-12   1.0753e+11
-2.5000e-01   -9.0000e-13   2.7778e+11
-3.0000e-01   -1.0800e-12   2.7778e+11
-3.5000e-01   5.7000e-13   -6.1404e+11
-4.0000e-01   1.7000e-13   -2.3529e+12
-4.5000e-01   -4.0000e-13   1.1250e+12
-5.0000e-01   -4.1000e-13   1.2195e+12
-5.5000e-01   -1.4000e-13   3.9286e+12
-6.0000e-01   -8.8000e-13   6.8182e+11
-6.5000e-01   -6.1000e-13   1.0656e+12
-7.0000e-01   -1.5000e-12   4.6667e+11
-7.5000e-01   -2.3000e-13   3.2609e+12
-8.0000e-01   -3.5000e-13   2.2857e+12
-8.5000e-01   7.3000e-13   -1.1644e+12
-9.0000e-01   -1.1400e-12   7.8947e+11
-9.5000e-01   -1.3800e-12   6.8841e+11
-1.0000e+00   -3.4000e-13   2.9412e+12
-1.0000e+00   -3.8000e-13   2.6316e+12
-9.5000e-01   7.0000e-13   -1.3571e+12
-9.0000e-01   1.3000e-13   -6.9231e+12
-8.5000e-01   -6.5000e-13   1.3077e+12
-8.0000e-01   -1.2300e-12   6.5041e+11
-7.5000e-01   -1.1000e-12   6.8182e+11
-7.0000e-01   -5.6000e-13   1.2500e+12
-6.5000e-01   -3.9000e-13   1.6667e+12
-6.0000e-01   -4.8000e-13   1.2500e+12
-5.5000e-01   -3.5000e-13   1.5714e+12
-5.0000e-01   -5.8000e-13   8.6207e+11
-4.5000e-01   -5.4000e-13   8.3333e+11
-4.0000e-01   -2.8000e-13   1.4286e+12
-3.5000e-01   -1.6300e-12   2.1472e+11
-3.0000e-01   -9.3000e-13   3.2258e+11
-2.5000e-01   -9.9000e-13   2.5253e+11
-2.0000e-01   -3.3000e-13   6.0606e+11
-1.5000e-01   2.0000e-14   -7.5000e+12
-1.0000e-01   -5.9000e-13   1.6949e+11
-5.0000e-02   -2.9000e-13   1.7241e+11
0.0000e+00   3.8000e-13   0.0000e+00
