  Measurement Number     Measurement type
                  12                DC IV

      Measurement ID             SeriesID
       739708.654093                    0

         MeasureMode                Bias1                Bias2
                   2                  1.5                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                 104

        Bias        Current     Resistance
0.0000e+00   -1.9100e-12   -0.0000e+00
5.0000e-02   -6.3000e-13   -7.9365e+10
1.0000e-01   -1.0070e-11   -9.9305e+09
1.5000e-01   -4.9100e-12   -3.0550e+10
2.0000e-01   6.1600e-12   3.2468e+10
2.5000e-01   -3.9700e-12   -6.2972e+10
3.0000e-01   -1.9600e-12   -1.5306e+11
3.5000e-01   -2.8000e-13   -1.2500e+12
4.0000e-01   3.5500e-12   1.1268e+11
4.5000e-01   1.0290e-11   4.3732e+10
5.0000e-01   1.2500e-12   4.0000e+11
5.5000e-01   6.2796e-09   8.7585e+07
6.0000e-01   7.5943e-09   7.9007e+07
6.5000e-01   1.0398e-08   6.2514e+07
7.0000e-01   1.2186e-08   5.7445e+07
7.5000e-01   1.3162e-08   5.6981e+07
8.0000e-01   1.5146e-08   5.2821e+07
8.5000e-01   1.7011e-08   4.9967e+07
9.0000e-01   1.6148e-08   5.5734e+07
9.5000e-01   1.8145e-08   5.2357e+07
1.0000e+00   2.5819e-08   3.8731e+07
1.0500e+00   1.2974e-07   8.0931e+06
1.1000e+00   1.9952e-07   5.5132e+06
1.1500e+00   3.3668e-07   3.4157e+06
1.2000e+00   3.8988e-07   3.0779e+06
1.2500e+00   3.2412e-07   3.8566e+06
1.3000e+00   9.9995e-06   1.3001e+05
1.3500e+00   9.9985e-06   1.3502e+05
1.4000e+00   9.9967e-06   1.4005e+05
1.4500e+00   9.9989e-06   1.4502e+05
1.5000e+00   9.9981e-06   1.5003e+05
1.5000e+00   1.0001e-05   1.4998e+05
1.4500e+00   9.9986e-06   1.4502e+05
1.4000e+00   9.9976e-06   1.4003e+05
1.3500e+00   1.0001e-05   1.3499e+05
1.3000e+00   9.9973e-06   1.3004e+05
1.2500e+00   9.9977e-06   1.2503e+05
1.2000e+00   1.0000e-05   1.2000e+05
1.1500e+00   9.9991e-06   1.1501e+05
1.1000e+00   9.9983e-06   1.1002e+05
1.0500e+00   1.0000e-05   1.0500e+05
1.0000e+00   9.9993e-06   1.0001e+05
9.5000e-01   9.9988e-06   9.5011e+04
9.0000e-01   9.9996e-06   9.0004e+04
8.5000e-01   1.0001e-05   8.4993e+04
8.0000e-01   9.9995e-06   8.0004e+04
7.5000e-01   8.8893e-06   8.4371e+04
7.0000e-01   7.7313e-06   9.0541e+04
6.5000e-01   6.7496e-06   9.6302e+04
6.0000e-01   5.7221e-06   1.0486e+05
5.5000e-01   5.0433e-06   1.0906e+05
5.0000e-01   4.0022e-06   1.2493e+05
4.5000e-01   3.5566e-06   1.2653e+05
4.0000e-01   2.9226e-06   1.3686e+05
3.5000e-01   2.1361e-06   1.6385e+05
3.0000e-01   1.3228e-06   2.2679e+05
2.5000e-01   7.0672e-07   3.5375e+05
2.0000e-01   5.7968e-07   3.4502e+05
1.5000e-01   2.8254e-07   5.3090e+05
1.0000e-01   1.2336e-07   8.1064e+05
5.0000e-02   8.9000e-13   5.6180e+10
0.0000e+00   3.2000e-13   0.0000e+00
0.0000e+00   -1.0600e-12   -0.0000e+00
-5.0000e-02   9.0300e-12   -5.5371e+09
-1.0000e-01   9.3000e-13   -1.0753e+11
-1.5000e-01   -5.6500e-12   2.6549e+10
-2.0000e-01   -2.1000e-12   9.5238e+10
-2.5000e-01   2.1800e-12   -1.1468e+11
-3.0000e-01   4.4000e-13   -6.8182e+11
-3.5000e-01   -1.1870e-11   2.9486e+10
-4.0000e-01   -1.1890e-11   3.3642e+10
-4.5000e-01   -1.4480e-11   3.1077e+10
-5.0000e-01   -3.9400e-12   1.2690e+11
-5.5000e-01   -2.0490e-11   2.6842e+10
-6.0000e-01   -3.3500e-11   1.7910e+10
-6.5000e-01   -3.6270e-11   1.7921e+10
-7.0000e-01   -3.8850e-11   1.8018e+10
-7.5000e-01   -4.1380e-11   1.8125e+10
-8.0000e-01   -5.3270e-11   1.5018e+10
-8.5000e-01   -7.0690e-11   1.2024e+10
-9.0000e-01   -7.7630e-11   1.1593e+10
-9.5000e-01   -7.9660e-11   1.1926e+10
-1.0000e+00   -8.8550e-11   1.1293e+10
-1.0000e+00   -9.9080e-11   1.0093e+10
-9.5000e-01   -8.4250e-11   1.1276e+10
-9.0000e-01   -6.4690e-11   1.3913e+10
-8.5000e-01   -4.3080e-11   1.9731e+10
-8.0000e-01   -4.5620e-11   1.7536e+10
-7.5000e-01   -4.4810e-11   1.6737e+10
-7.0000e-01   -3.1960e-11   2.1902e+10
-6.5000e-01   -2.1160e-11   3.0718e+10
-6.0000e-01   -2.1890e-11   2.7410e+10
-5.5000e-01   -2.6110e-11   2.1065e+10
-5.0000e-01   -1.0230e-11   4.8876e+10
-4.5000e-01   6.3500e-12   -7.0866e+10
-4.0000e-01   4.0000e-13   -1.0000e+12
-3.5000e-01   -1.9200e-12   1.8229e+11
-3.0000e-01   -8.5800e-12   3.4965e+10
-2.5000e-01   9.3000e-13   -2.6882e+11
-2.0000e-01   1.0880e-11   -1.8382e+10
-1.5000e-01   -2.0300e-12   7.3892e+10
-1.0000e-01   -1.0200e-12   9.8039e+10
-5.0000e-02   -4.0800e-12   1.2255e+10
0.0000e+00   7.0000e-14   0.0000e+00
