  Measurement Number     Measurement type
                  10                DC IV

      Measurement ID             SeriesID
       739708.623924                   28

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   7.9500e-12   0.0000e+00
5.0000e-02   9.4000e-12   5.3191e+09
1.0000e-01   5.4800e-12   1.8248e+10
1.5000e-01   1.9480e-11   7.7002e+09
2.0000e-01   3.4300e-11   5.8309e+09
2.5000e-01   4.8000e-11   5.2083e+09
3.0000e-01   5.0590e-11   5.9300e+09
3.5000e-01   5.6090e-11   6.2400e+09
4.0000e-01   8.1610e-11   4.9014e+09
4.5000e-01   6.5653e-10   6.8542e+08
5.0000e-01   1.0396e-09   4.8095e+08
5.5000e-01   2.1485e-09   2.5599e+08
6.0000e-01   1.9734e-07   3.0404e+06
6.5000e-01   6.2490e-07   1.0402e+06
7.0000e-01   1.8559e-06   3.7718e+05
7.5000e-01   2.3048e-06   3.2541e+05
8.0000e-01   2.2123e-06   3.6161e+05
8.5000e-01   2.7279e-06   3.1159e+05
9.0000e-01   4.2073e-06   2.1391e+05
9.5000e-01   6.2127e-06   1.5291e+05
1.0000e+00   7.3269e-06   1.3648e+05
1.0000e+00   8.6955e-06   1.1500e+05
9.5000e-01   9.3662e-06   1.0143e+05
9.0000e-01   8.0949e-06   1.1118e+05
8.5000e-01   7.7394e-06   1.0983e+05
8.0000e-01   6.5229e-06   1.2264e+05
7.5000e-01   5.2033e-06   1.4414e+05
7.0000e-01   4.3708e-06   1.6015e+05
6.5000e-01   4.0079e-06   1.6218e+05
6.0000e-01   3.4556e-06   1.7363e+05
5.5000e-01   2.8418e-06   1.9354e+05
5.0000e-01   2.7609e-06   1.8110e+05
4.5000e-01   2.0669e-06   2.1772e+05
4.0000e-01   1.6963e-06   2.3581e+05
3.5000e-01   1.0758e-06   3.2534e+05
3.0000e-01   9.2120e-07   3.2566e+05
2.5000e-01   6.6322e-07   3.7695e+05
2.0000e-01   4.3396e-07   4.6087e+05
1.5000e-01   3.3092e-07   4.5328e+05
1.0000e-01   1.3998e-07   7.1439e+05
5.0000e-02   -2.3500e-12   -2.1277e+10
0.0000e+00   1.0500e-12   0.0000e+00
0.0000e+00   -2.4700e-12   -0.0000e+00
-5.0000e-02   2.7900e-12   -1.7921e+10
-1.0000e-01   -1.0040e-11   9.9602e+09
-1.5000e-01   -2.2670e-11   6.6167e+09
-2.0000e-01   -3.4340e-11   5.8241e+09
-2.5000e-01   -4.0070e-11   6.2391e+09
-3.0000e-01   -4.3460e-11   6.9029e+09
-3.5000e-01   -6.0850e-11   5.7518e+09
-4.0000e-01   -8.2870e-11   4.8268e+09
-4.5000e-01   -9.2670e-11   4.8559e+09
-5.0000e-01   -1.1808e-10   4.2344e+09
-5.5000e-01   -1.5794e-10   3.4823e+09
-6.0000e-01   -2.2826e-10   2.6286e+09
-6.5000e-01   -2.9943e-10   2.1708e+09
-7.0000e-01   -3.6417e-10   1.9222e+09
-7.5000e-01   -4.9137e-10   1.5263e+09
-8.0000e-01   -5.7804e-10   1.3840e+09
-8.5000e-01   -7.0202e-10   1.2108e+09
-9.0000e-01   -8.7753e-10   1.0256e+09
-9.5000e-01   -1.0084e-09   9.4209e+08
-1.0000e+00   -1.2111e-09   8.2570e+08
-1.0000e+00   -1.2219e-09   8.1840e+08
-9.5000e-01   -1.0532e-09   9.0201e+08
-9.0000e-01   -8.5691e-10   1.0503e+09
-8.5000e-01   -7.2078e-10   1.1793e+09
-8.0000e-01   -5.9554e-10   1.3433e+09
-7.5000e-01   -4.8067e-10   1.5603e+09
-7.0000e-01   -3.6470e-10   1.9194e+09
-6.5000e-01   -2.6691e-10   2.4353e+09
-6.0000e-01   -2.0830e-10   2.8805e+09
-5.5000e-01   -1.6171e-10   3.4012e+09
-5.0000e-01   -1.1997e-10   4.1677e+09
-4.5000e-01   -8.4350e-11   5.3349e+09
-4.0000e-01   -7.2860e-11   5.4900e+09
-3.5000e-01   -6.3740e-11   5.4911e+09
-3.0000e-01   -4.6740e-11   6.4185e+09
-2.5000e-01   -2.8490e-11   8.7750e+09
-2.0000e-01   -1.8260e-11   1.0953e+10
-1.5000e-01   -1.6940e-11   8.8548e+09
-1.0000e-01   -1.7850e-11   5.6022e+09
-5.0000e-02   -4.9500e-12   1.0101e+10
0.0000e+00   9.4900e-12   0.0000e+00
