  Measurement Number     Measurement type
                   5                DC IV

      Measurement ID             SeriesID
       739708.623586                   28

         MeasureMode                Bias1                Bias2
                   2                    1                   -1

                Step  Positive compliance  Negative compliance
                0.05                1e-05                1e-06

  RealMeasuredPoints
                  84

        Bias        Current     Resistance
0.0000e+00   4.8400e-12   0.0000e+00
5.0000e-02   3.9200e-12   1.2755e+10
1.0000e-01   6.6400e-12   1.5060e+10
1.5000e-01   2.1960e-11   6.8306e+09
2.0000e-01   3.9890e-11   5.0138e+09
2.5000e-01   4.4430e-11   5.6268e+09
3.0000e-01   4.3370e-11   6.9172e+09
3.5000e-01   7.5790e-11   4.6180e+09
4.0000e-01   8.1430e-10   4.9122e+08
4.5000e-01   2.4538e-07   1.8339e+06
5.0000e-01   1.7684e-07   2.8274e+06
5.5000e-01   2.0992e-07   2.6200e+06
6.0000e-01   6.6830e-07   8.9780e+05
6.5000e-01   6.8004e-07   9.5583e+05
7.0000e-01   1.1876e-06   5.8942e+05
7.5000e-01   1.4133e-06   5.3067e+05
8.0000e-01   2.0164e-06   3.9675e+05
8.5000e-01   4.2641e-06   1.9934e+05
9.0000e-01   7.0454e-06   1.2774e+05
9.5000e-01   9.2980e-06   1.0217e+05
1.0000e+00   1.0001e-05   9.9991e+04
1.0000e+00   9.9982e-06   1.0002e+05
9.5000e-01   1.0001e-05   9.4991e+04
9.0000e-01   1.0000e-05   8.9997e+04
8.5000e-01   1.0002e-05   8.4986e+04
8.0000e-01   1.0001e-05   7.9994e+04
7.5000e-01   9.9992e-06   7.5006e+04
7.0000e-01   9.9527e-06   7.0333e+04
6.5000e-01   9.3145e-06   6.9784e+04
6.0000e-01   8.2436e-06   7.2784e+04
5.5000e-01   7.1628e-06   7.6786e+04
5.0000e-01   5.5147e-06   9.0667e+04
4.5000e-01   4.4442e-06   1.0126e+05
4.0000e-01   2.9927e-06   1.3366e+05
3.5000e-01   2.7014e-06   1.2956e+05
3.0000e-01   2.2957e-06   1.3068e+05
2.5000e-01   1.3877e-06   1.8015e+05
2.0000e-01   7.8208e-07   2.5573e+05
1.5000e-01   4.6484e-07   3.2269e+05
1.0000e-01   2.7398e-07   3.6499e+05
5.0000e-02   -7.7400e-12   -6.4599e+09
0.0000e+00   -7.4500e-12   -0.0000e+00
0.0000e+00   7.4400e-12   0.0000e+00
-5.0000e-02   -7.0000e-12   7.1429e+09
-1.0000e-01   -2.4540e-11   4.0750e+09
-1.5000e-01   -2.6620e-11   5.6349e+09
-2.0000e-01   -2.4790e-11   8.0678e+09
-2.5000e-01   -3.9300e-11   6.3613e+09
-3.0000e-01   -6.1000e-11   4.9180e+09
-3.5000e-01   -6.9980e-11   5.0014e+09
-4.0000e-01   -8.1610e-11   4.9014e+09
-4.5000e-01   -1.0575e-10   4.2553e+09
-5.0000e-01   -1.1877e-10   4.2098e+09
-5.5000e-01   -1.6894e-10   3.2556e+09
-6.0000e-01   -2.2050e-10   2.7211e+09
-6.5000e-01   -2.9806e-10   2.1808e+09
-7.0000e-01   -3.4915e-10   2.0049e+09
-7.5000e-01   -4.9782e-10   1.5066e+09
-8.0000e-01   -5.9165e-10   1.3522e+09
-8.5000e-01   -7.3403e-10   1.1580e+09
-9.0000e-01   -8.9427e-10   1.0064e+09
-9.5000e-01   -1.0681e-09   8.8943e+08
-1.0000e+00   -1.2907e-09   7.7477e+08
-1.0000e+00   -1.2958e-09   7.7172e+08
-9.5000e-01   -1.0584e-09   8.9758e+08
-9.0000e-01   -8.8392e-10   1.0182e+09
-8.5000e-01   -7.2876e-10   1.1664e+09
-8.0000e-01   -6.0640e-10   1.3193e+09
-7.5000e-01   -4.6753e-10   1.6042e+09
-7.0000e-01   -3.9685e-10   1.7639e+09
-6.5000e-01   -3.0664e-10   2.1197e+09
-6.0000e-01   -2.3814e-10   2.5195e+09
-5.5000e-01   -1.4898e-10   3.6918e+09
-5.0000e-01   -1.2447e-10   4.0170e+09
-4.5000e-01   -1.0218e-10   4.4040e+09
-4.0000e-01   -7.1700e-11   5.5788e+09
-3.5000e-01   -5.3490e-11   6.5433e+09
-3.0000e-01   -5.0680e-11   5.9195e+09
-2.5000e-01   -4.4470e-11   5.6218e+09
-2.0000e-01   -2.9360e-11   6.8120e+09
-1.5000e-01   -1.3820e-11   1.0854e+10
-1.0000e-01   -1.1490e-11   8.7032e+09
-5.0000e-02   -1.0760e-11   4.6468e+09
0.0000e+00   9.4000e-13   0.0000e+00
